target_rmse,target_mae
1162468.3768676575,831813.6647124072
1240712.8480257245,954244.1751363976
1786606.3248271171,984763.1365940222
1002835.5459514881,732378.1290971338
1483392.511476134,849498.5314345347
1191968.6125768695,851187.4623102633
1178213.781380314,881349.7140219976
1123443.065516605,785919.0553882415
1001578.862020127,769118.865665464
1121316.4702751772,761879.8822481016
1671007.0382050183,825284.9988747552
1306843.2072080374,864666.6891845363
1226647.075965305,831742.2793336117
1184374.619828601,874802.927605493
889383.9842028961,688201.3179049098
1206871.1867980899,793572.574842521
2176343.1997721386,1135146.5857483756
1167210.043083645,759720.74693777
1339977.3730254853,849828.1365195431
1529118.2620742123,1024046.2730647568
1184353.3288406879,784397.9226260211
1088861.381961018,818645.4168290544
1309608.2887252625,909310.1794821991
1194465.1490434879,816089.3767889887
1232310.5076731362,850348.8361367122
1685901.3119698167,1017781.2647592737
1262001.2538306345,845462.8993747109
1010559.7321362993,706825.6873176221
1067633.5985507695,784686.0489485357
1417400.039508361,898911.4778497141
1324610.4843469628,847520.3402424284
1230287.9402535683,786878.5121191515
934664.0121129768,722309.2704759407
1338738.5115211306,934352.8846826613
1594704.8912877245,1016855.8364182102
1775064.7762324752,1030936.0894952152
1423989.9020877224,940558.200036042
1460905.2681968256,941672.4863725166
1054442.0751029188,759783.6217873535
1451844.4660004019,799212.6500367413
1332513.8845581708,778635.7361477955
1094204.5123865746,766429.2349615712
1942397.913871466,1140079.6789629497
1764137.0563838875,872902.8500860195
1077246.730765906,811625.3119136879
1181802.730460118,858474.5252482155
1021805.9304610995,771576.6228269436
2040892.488775891,1129974.0212809537
1123748.4401723926,746555.4152606786
1984094.9425280874,1011962.9415559311
1137295.1507002504,821793.4967418907
1143167.6141089005,797914.2346349477
1297557.4846638239,814412.4869480256
1316438.1378268586,813492.5456522667
1149012.3016848655,832626.5203743576
1033499.2707449272,748944.4930884101
1167999.7354940413,798381.0923607532
1387661.3035356987,921483.5545441674
,
1156779.6056442643,775439.4131683393
1251661.0208982197,792757.1523157719
1058409.3857094948,783868.2794788863
1194431.082551592,824531.8937854172
1143481.143328012,826329.6921245338
1224212.4378561801,875262.0387414106
1264799.6176954184,844107.5613334092
1579538.2932572437,960937.2334184189
1563547.2956182964,987078.1380292481
1223154.3711744405,815452.7152244818
1370239.3221798462,980033.5216631328
1194408.6699445262,830230.7931673522
1185503.3665209007,842965.1854420964
1469605.916183055,989575.2322725517
1329763.3775867694,826479.4670862255
1116263.4144743618,785502.5949089661
1202250.4833700075,785762.4836610456
1279064.067352597,900195.0773457758
1355335.0119821443,888358.7499845306
1210231.1312214595,837082.1258935182
1406188.8239977325,815115.586701349
1052792.8093614404,784005.6965676417
959358.7172833086,692229.7225918818
1243470.2502913505,845731.3410138426
1305364.8374558585,876090.0924346525
1368032.0195403388,857022.0798436971
1318795.7599165966,883817.8953528784
1265459.4274530942,779885.4184885568
1127259.9352350282,806654.3121222614
1350087.7120973214,873085.1695906984
1322184.7419747112,932977.1478608532
1183095.0563744118,823186.7440573924
1405659.9011666174,952092.5948827158
1244725.5698643615,872601.5314797005
2074925.527278499,945448.2937777162
1097008.6975528735,795700.7044330742
1128853.2850760082,813838.159262823
1379068.6128058177,967493.3119281605
932627.0778587853,677734.6721825994
2188120.101653359,1075013.5052300803
1653525.2695964617,940428.6193518408
