target_rmse,target_mae
1552037.5818002245,879222.5084438797
1400859.1195766274,839508.6120945023
1154833.1840771274,874176.7193267151
1310919.2456132255,886266.398095398
1349169.8408889521,909848.9870897675
1538279.4036753755,983182.8342163085
1479875.5955144009,954948.0804660798
1308416.377162484,907563.3555449677
1687581.192229949,974379.7679329681
1247595.2552603693,856651.1066830445
2132898.047419173,1057516.0693444824
1544255.74263637,1029738.2726795243
1086606.9309972932,777960.9281326294
1327123.6653591932,939910.6038235474
1509972.1416676166,1081605.4974423219
1606684.2222939988,949581.7252468109
1130622.1251200032,760623.1986948395
1251123.127699573,883078.479336319
1692739.0722693815,837625.5242134094
1388989.018857958,852957.1524526977
1002057.4787570141,738859.0160901642
1909629.08201852,1042340.1036375427
1139619.7892071756,761673.4324472809
1353778.5990549847,877954.6675456237
1180349.1833921254,855324.6443152619
872774.0177388751,670310.910653305
854401.1423951394,653208.033503418
1110500.7671925544,830653.8042726899
1486768.7194102018,990554.7634305862
1316907.2440346594,843719.8328418732
1459784.4547629424,924147.1516559601
1138947.6767151756,825046.2014533234
1862415.9130811798,1043128.6196722412
1436882.7616830878,998714.1172840882
1342940.5924444348,978497.8858551788
1157616.2902977592,811003.3309276581
1394124.9282778767,977508.4845689392
1340075.0852713485,900731.8002997589
1296167.3975064897,791239.085128479
1612521.8906818791,924797.3430102539
1299096.7713777404,903674.1076982117
1238184.7886451671,840290.310657425
1250505.9705541758,843392.7885243226
1064118.4713294164,779142.6973350525
1854457.1043768597,994243.8850992584
1786387.4551952933,1058374.9788930512
801962.212937138,595693.4405761719
1442578.565394667,853706.5802787781
1942379.8576043942,1031902.9395194245
860808.874035796,650975.4096163177
1441853.4451676917,899823.9538018036
1244895.725173614,872034.7161811829
1296493.0841677007,863392.5836859894
1577393.529158541,1021854.5173308838
1572707.6282663147,933138.0571275803
1144877.652376018,835555.1536053467
913114.0692109664,727793.6949411774
1024352.2890006775,752174.8936091614
1603889.9237905354,872780.4237477112
1638636.4762793062,925604.7930385009
1171836.5748242373,812092.762327652
1215055.6773932972,838398.3249467468
1775160.761642011,1034658.9109401703
2168232.1681747623,998372.3833002471
1058051.4930778795,727076.1054753113
1258901.9748487023,811257.638385315
1115563.283323312,831621.9563809967
1456535.628408036,855072.5720572663
1767407.128177969,1003768.6097125245
1917082.637340768,962828.4327796173
1329607.5077243142,776675.0412999726
1126949.895165372,852496.7082893371
1358738.9466602814,935919.8261721039
1170892.6745977383,827709.1851190475
1489525.6490737787,924438.9548829651
1179695.2364313782,832147.0945859528
1111645.4826782914,848663.4706034851
1654680.5650151742,1087514.4485914612
1163157.294800765,793477.2259281921
1264489.2397371286,867379.0892490387
1185392.3692111832,808633.1291942596
1848004.176440425,891851.4566279602
1228046.5598051788,842715.7254626465
1357680.5549443928,921753.6955548859
1732793.1097305405,972773.2246006775
1217466.2476755471,781601.6530503082
982207.7789316277,758735.8948912262
1039884.1754628071,728511.3502669525
1229459.4240318036,881936.3831278229
1212214.2617103434,861857.0064891556
870491.0069211295,687451.5669792938
1845672.8926010244,1070321.975181732
1056041.3453790531,751433.3937114716
1231049.744750329,818405.8342428589
1328238.8746241285,846997.4481015014
2190754.526447028,1132123.6697879029
1210095.825873559,831516.8208302307
1730894.6081199415,933557.9015800476
1359115.967833422,838832.4762053681
1340010.8376635176,956097.5669934083
