source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
515327.9213226056,523523746815.8793,723549.4086901593,614507.9197713602,930545891885.7535,964648.0663359843,175653.0392327757,59688745271.861916,244312.80210390515,868788.1603837397,1430822537387.97,1196169.9450278669,,,,,
479840.953217046,583612609697.9274,763945.4232456186,778475.0136528745,1808028869991.2231,1344629.6404554017,259999.77689800542,143078726689.9883,378257.48728873604,1056860.451900807,2814391260239.3525,1677614.75322535,,,,,
271363.97330656333,141678453595.81976,376401.9840487292,617072.8947244176,832053694083.6458,912169.772621109,353463.7218584781,222068641703.58472,471241.5958970353,736066.2213290543,1136284307940.6787,1065966.372800136,,,,,
329791.31443968724,209388074975.38425,457589.417464373,621667.4049602299,1156448129579.1423,1075382.782816957,325002.6310318452,201049117277.5832,448385.0100946542,932306.798873032,1912155002657.6775,1382806.9289158473,,,,,
412599.8252871421,353679871139.7058,594709.9050290871,688110.4265751978,775958786335.8096,880885.2288100928,277825.91233547573,153508397002.51477,391801.47651905904,1097901.0357022246,2114737861754.5884,1454213.82944689,,,,,
464072.9143916201,634956508732.1421,796841.5832097005,804412.5210741679,983104723776.2822,991516.3759496271,356173.75433332985,258623644211.63925,508550.5326038301,1102935.4510829565,1816012695219.501,1347595.1525660446,,,,,
484115.6324020215,410655897682.0585,640824.3891130069,606188.5449217027,523286756090.4032,723385.6205996932,277649.3047869773,147667629391.05823,384275.4603029684,939995.9006872099,1555922612445.72,1247366.270365573,,,,,
427761.33220982563,344549191740.7335,586983.1273049793,623966.8887860271,1197581138669.9512,1094340.5039885673,423630.3444282163,333200053634.9896,577234.8340450268,915395.8015220102,1724406388636.3772,1313166.550227494,,,,,
555749.5821680592,771372377497.7505,878278.0752687332,689465.7993811503,732782115268.4398,856026.9360647711,349961.9672156142,211722127926.85376,460132.7285977968,972670.8667819377,1568817268652.1064,1252524.358506495,,,,,
421024.57330069965,317309683136.0678,563302.479256099,654413.165055789,819593305475.0607,905313.926478026,255629.90485947064,134512863755.9275,366759.9538607337,1089263.4993295432,2262798772088.056,1504260.2075731633,,,,,
459630.0139960932,416754156011.7439,645564.9897661303,792213.2476511875,1694893823958.4353,1301880.879327458,447278.82810685097,690929348340.3247,831221.6000203103,1284532.4268897765,2938714374249.4443,1714267.8828728737,,,,,
304300.60718550545,153759977269.88608,392122.40087743785,493656.37294896727,389643720497.22345,624214.4827679213,260474.84585520293,138511265740.32785,372171.01679245237,557385.6347381542,532629924156.18695,729814.9931018045,,,,,
270629.6065475085,124588670778.51389,352971.20389419,578430.1867463064,724371253538.5978,851100.0255778388,327627.5889031693,239854655079.45093,489749.5840523511,694476.581085609,902579717634.7546,950041.9557234063,,,,,
326029.0399023808,186024784677.15396,431305.90614684834,492372.5590983669,547734789535.1739,740091.0684065671,279247.4764400875,223953183951.02136,473236.9215847611,605092.9866823176,770970553242.8828,878049.2886181748,,,,,
291897.0061747587,143297015667.5738,378545.92279877194,560116.8720377269,743244797282.4954,862116.4638739335,359750.7828699316,273240463972.44513,522724.08015361713,676385.35755702,1021244453681.2561,1010566.4024106759,,,,,
278893.5383594953,150492201542.86935,387933.2436681205,565936.468996409,764456050218.2037,874331.7735380568,358513.79703323805,327845237765.36835,572577.7132978268,789991.1318683955,1312638716000.6206,1145704.4627654292,,,,,
