source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
486086.98806503415,501435655418.90265,708121.2152018202,894395.4820206052,1539321172113.2266,1240693.8269022002,173324.5447056318,61066471813.03771,247116.31231676656,724867.1792881881,1392315578202.9192,1179964.2275098509,87136176.7930054,0.34536842392700706,1.0213072033977801,1.0,0.2915977136213139
476863.2074058166,572802296655.2289,756837.034410466,1080275.9159188704,2901413004761.964,1703353.4585522653,264708.96042652515,146222355019.59732,382390.31763317087,862322.5598768091,2226113925202.719,1492016.730872251,106378440.83440448,0.32980373425778753,1.0393336726563862,1.0,0.26449374146328003
266936.9533990111,124148216053.24742,352346.72703637736,748188.2037738172,1140629741428.9067,1068002.687931499,349526.0740829208,219393594897.95316,468394.6999037811,654587.9640721839,901274268773.4489,949354.6591097811,65790183.71705479,0.36737904266529986,1.0678552681813156,1.0,0.2232025743821496
325261.9154269488,205320218250.50058,453122.7408225067,886984.0993985423,1649245690521.9956,1284229.609735734,355377.0903886698,250477543545.90106,500477.3157156087,620178.5895744954,1284015213586.4194,1133143.9509552259,81143796.72363344,0.3908293498285222,1.0434615603790132,1.0,0.27401812657349084
419609.90477064956,382792936925.81195,618702.6239849092,1158112.0049217232,2211414234843.906,1487082.4573115997,276490.76279593236,156435478673.09894,395519.251962656,773538.1358107117,1192102519402.1506,1091834.4743605372,107838480.01089709,0.35309070936665715,1.0698180735659701,1.0,0.27156213160074705
490173.9792569237,697957678847.904,835438.6146497563,1048039.3939027423,1679408663579.3428,1295920.006628242,371010.62559347705,250679484310.97345,500679.02323841513,813349.7900793641,1198103440807.7236,1094579.115828419,94140866.9656481,0.3988345594737034,1.051034330102385,1.0,0.27746550902045647
480836.269725247,447855856864.32745,669220.335064863,923964.2876731214,1552747842197.2869,1246093.0311165722,273351.2935113923,138617288350.76086,372313.42757247,621211.514714832,946461113405.8638,972862.3301402228,87212588.69180182,0.3808840639034142,1.0547846060887107,1.0,0.3212287172691315
393285.94092156173,302751078528.325,550228.2058640078,940135.6818718046,1987720858276.8813,1409865.5461698754,438438.80248195754,348530880213.2101,590365.0397958962,719225.1371813177,1927761783250.5103,1388438.6134253507,88606979.46805798,0.3436051992550969,1.0660712808517572,1.0,0.30800286462552906
546771.3723130778,738947688309.6263,859620.665357474,987105.3035626082,1530686329291.206,1237209.0887522635,347869.3331830602,213826852892.02185,462414.15732222324,815618.1520960896,1137523297024.791,1066547.372142837,86733648.87105899,0.3888171417949971,1.0902638355474426,1.0,0.2935926170339361
432648.5481488859,346269798905.462,588446.9380542837,1143735.6373578417,2235439463055.5005,1495138.6099808607,251601.5817065037,123913151814.71626,352012.99949677463,677883.0907166093,1033171123519.5186,1016450.2562936952,110383445.92291208,0.3779617468634112,1.0642008434201626,1.0,0.2602942467963872
439391.8561712609,420022496683.74884,648091.4261766999,1230715.2459831147,2772689139953.1475,1665139.3755338162,429275.5259528995,653633965933.188,808476.323668905,850506.1160685957,2442045838081.303,1562704.6547832713,106684946.68124838,0.3584029100465919,1.0518752525166295,1.0,0.24287257157642755
300817.1048177107,151415161638.28607,389121.0115610388,600835.8621487874,587838141966.588,766706.0336051804,247834.68002178962,128931772845.01704,359070.7073057019,484624.58466665907,458094293129.3158,676826.6344709817,51192413.75334868,0.37395046767278295,1.0698424207703088,1.0,0.23534661347799107
262133.89239247266,125846401454.30995,354748.36356819177,704756.3585068994,936150707808.2397,967548.8141733417,343566.99629898317,245021085716.95312,494996.0461629498,587110.5232380184,892894897321.9631,944931.1600968417,58122780.05285844,0.351733324653636,1.043107272409313,1.0,0.27462508916431805
326836.95643843536,194733505786.59335,441286.19487424864,640854.3514713553,903927867454.8182,950751.2121763602,269680.9829280267,217975609356.40823,466878.58095698524,562732.56303353,783684014168.9819,885259.2920545832,57149792.600561395,0.3634714115425568,1.0596276943131024,1.0,0.26414383162456007
294675.1189870399,147845598653.56482,384506.9552733277,683863.9631245504,1025491643163.4354,1012665.6127090696,356694.35404164315,254626134210.8026,504604.9288411704,621614.9576082592,905156097141.221,951396.9188205419,63861064.59728253,0.3608586497349958,1.0350557169065775,1.0,0.3521645363934624
270402.6558268363,147816014431.6824,384468.4830147751,816592.6643824844,1307336405965.861,1143388.1256886749,366387.8361589328,347023402821.6419,589086.9229762632,737566.2901718831,1410171145622.451,1187506.2718244696,71680384.05567726,0.37812490607965565,1.079358684992239,1.0,0.41899687485221093
509688.7271504994,645782698644.6195,803606.0593628071,1044347.0236815916,1922401195193.5852,1386506.832003934,180108.45680848972,53938782518.84659,232247.24437298838,759676.1794031147,1166664805407.3071,1080122.5881386367,103045534.98878825,0.37576794536773434,1.080248610786943,1.0,0.2336759412194026
449524.62445982464,461050944050.00793,679007.3225304775,1149829.003548874,2896500706022.6035,1701910.898379408,518419.5333775995,714389627228.2272,845215.7282186763,957607.9475557542,2483994853947.4785,1576069.4318295366,111252253.72539671,0.34424463867466437,1.0499230663894434,1.0,0.33863395296302
254760.29626668023,103526363507.06396,321755.129729215,687908.5518205687,1177709004638.8071,1085223.0206915108,281886.5730328037,140909126282.44702,375378.6438816772,579700.5992549899,1123693651533.4297,1060044.1743311596,65010771.261545256,0.32499776430484023,1.0475825044526512,1.0,0.32024046329980255
401576.54212992423,305744925833.5905,552942.0637224035,892967.7025947049,1483416462391.194,1217955.8540403647,307534.7903374924,204489876641.75528,452205.5690078963,783903.2180120865,1354317606380.684,1163751.5226115428,82827470.25324789,0.34410883144885973,1.0564848564126361,1.0,0.21913816598183652
331328.56721250835,198093219044.0321,445076.64401093,1034036.4877519482,1847082597477.8718,1359074.1692335529,234291.41153287995,114341428304.52174,338144.09399621596,608544.9137362214,871832411975.7319,933719.6645544807,101467539.8056405,0.35892260758221095,1.0424179523284502,1.0,0.2870820459780594
434758.72960213997,343725794079.9571,586281.3267365396,1008296.2112976759,2422644326994.8105,1556484.60544742,366714.71672039106,302970665618.4519,550427.7115284548,850050.9033302333,2210948614118.92,1486925.8939566961,90643105.5904554,0.3523345862836446,1.0441143290701116,1.0,0.3676294344440949
420175.0891321966,281274828695.24963,530353.4940916762,1098572.783549338,2660035691541.0425,1630961.584937255,397315.1556739809,371114658145.76447,609191.8073527947,752231.5257043145,1417200480790.3452,1190462.2970889693,104788552.86145566,0.36694489524907625,1.0520667476167946,1.0,0.3962622568759111
338213.03103070596,215534909665.3719,464257.3743790958,783889.0573017821,1085885964867.5345,1042058.522765173,198372.68038636362,67968971511.58914,260708.59500904288,630050.2495415432,772711503076.6635,879040.1032243429,74460399.940366,0.35052064395897065,1.0501912731788137,1.0,0.3049971878907165
402834.0712393286,332257272822.1773,576417.620152418,708771.4910725333,1130499771965.709,1063249.6282462124,286115.5163429449,164702388309.0225,405835.4202247784,617908.8850412134,844537130094.1055,918987.0130171076,63317359.81832339,0.36310850186491034,1.0169190582332335,1.0,0.2573909833787177
254871.2164498692,123529037467.32042,351466.9791990713,911499.8721956202,1724608366764.453,1313243.452968433,302177.63119403855,162072069693.92548,402581.75529192266,633377.8254569274,1128932835549.436,1062512.5107731372,87621798.87100366,0.36331097067088325,1.055144372786661,1.0,0.24311207619007857
359261.0217153291,259612880693.9035,509522.2082440603,955207.1384269362,2269957388317.022,1506637.776081903,289285.78676454147,148326543983.20847,385131.8527247629,841089.9077573705,2145643806591.7861,1464801.6270443539,89146349.83770655,0.3805834216267344,1.0608910744870497,1.0,0.3506825498458874
345651.4138358196,278715983876.4558,527935.5868630715,835107.4300496832,1463415279020.664,1209717.024357624,427378.6670236177,353104222248.94916,594225.7334119326,752571.6319165577,1179323418292.2932,1085966.5824933534,78917844.03276932,0.3664456442095345,1.0444944803233354,1.0,0.2288881464727857
273399.65924265253,128771771978.78545,358847.83959052264,684059.7767517332,1064526483118.8032,1031758.9268423138,421806.23255555384,356239945618.95166,596858.3966226425,624954.2699560849,1088606363710.7853,1043363.0066811767,57912903.24293102,0.3248748123036266,1.0672850072021096,1.0,0.3837453786493141
507449.24799287994,598092828748.4773,773364.615655822,1116642.0961144113,2326131024446.054,1525165.9006305032,345670.52891630883,520406087508.9891,721391.771168059,679523.60401749,1144832901385.6907,1069968.6450479242,102668160.51630065,0.36009573113376936,1.0536434067337028,1.0,0.25349680440881106
405660.87840659654,266918243021.8499,516641.3098290243,825204.747303355,1409031499428.0203,1187026.3263415939,282746.16913689225,203448904014.81766,451053.10553727223,693288.9880686731,1012980776635.9369,1006469.4613528703,78930978.80744573,0.38935559591357854,1.0739580270406157,1.0,0.2974205778609378
386652.5109688567,268012717361.77814,517699.44693980325,771632.159434631,1126646058678.668,1061435.8476510334,264255.21046040085,140663958150.73138,375051.9406038734,692545.5813392794,1074100488253.592,1036388.1938026851,67708645.7318263,0.37231836179618405,1.0302733297527031,1.0,0.3987548357526524
363102.95707381045,231847575346.23456,481505.52992279804,1185870.5838315166,2110916010997.6797,1452899.174408768,369307.6685493803,410443079682.141,640658.3174221193,647957.5974868338,1095919222712.812,1046861.6062846187,103579314.40334712,0.3419177458539295,1.052763796238644,1.0,0.39242985040174455
405175.5915723491,470080197613.0809,685623.9476659788,793532.2762683252,1414936935894.2844,1189511.2172208736,403385.1015856428,297077423542.1537,545048.0928708527,639980.5785131599,1036661744464.3308,1018165.8727654993,72990256.0715615,0.3625871955454047,1.0659316397365624,1.0,0.2759639138553122
261375.66308296067,117780561957.02435,343191.72769317206,862384.5624858672,1415005498215.7244,1189540.0364072344,334744.9012575234,198396877456.7041,445417.6438542866,491950.2166116225,735990403281.2484,857898.8304463694,77766882.05083975,0.35270505941224317,1.0369567926575836,1.0,0.29225813039392745
341659.223843863,187851558353.4637,433418.45640612,794064.5611475928,1197694783954.5771,1094392.4268536298,277536.3273459566,141997393560.93555,376825.4152269132,515728.1904189722,491840316141.2453,701313.2795985296,71660160.79399772,0.33550880494248364,1.0437625709705909,1.0,0.27963553179547046
293875.2243114596,167266485465.43192,408982.25568529486,914570.8361880027,1745145834048.892,1321039.679210618,297540.083140725,171065230009.47855,413600.3264136509,651097.1948154495,1348971243242.0542,1161452.2130686454,85191992.19456165,0.37608247667057015,1.067237476741209,1.0,0.3606802332167079
253274.82775044983,117792858919.12361,343209.6428119752,667063.1070180013,868785561410.1633,932086.6705463411,337171.39503789967,214570434625.41675,463217.4809151925,574088.7589499755,764645507555.1733,874440.1109024982,57853366.70033885,0.36095176468807355,1.0441153352646648,1.0,0.254221281497599
422629.8452158824,439838048106.9349,663202.871003236,833217.1173611083,1433859678591.72,1197438.799518255,330605.27911303507,212934061557.72256,461447.78855004016,752944.050854138,1307608336990.532,1143507.0340800409,78962977.2518848,0.35659870664681076,1.0281303816987717,1.0,0.2602845444392437
387136.7106186542,240979523083.89044,490896.6521416605,879637.8190715887,1430632603102.5112,1196090.5497087215,212469.17413971564,79291405492.26491,281587.2963971651,547573.438832748,544247178438.18585,737731.1017153783,84020089.84364446,0.3650275049634456,1.0628237911296416,1.0,0.40910828127568244
342110.33173311746,212958362021.17877,461474.11847380863,1199739.9085434303,2481599342636.031,1575309.2847552288,192975.50731670548,65789127822.055,256493.91381094212,721005.8320930786,1681507882003.8115,1296729.6873303284,119046266.0408678,0.3573661454453261,1.0743704908926686,1.0,0.3321151809809815
370089.9530547455,248636213732.01526,498634.3487286202,1068264.8574083424,2087914885561.5928,1444961.897615848,356464.3389647411,249903536444.52,499903.5271375068,606597.4046502303,888872549438.746,942800.3762402441,99744799.63887091,0.35508961794582017,1.0543247389060286,1.0,0.3328177248632081
467002.5258380918,525974151712.7099,725240.7543103944,893906.2147302079,1539405429489.07,1240727.7821863545,240860.24886589113,113290831495.23555,336587.03405692196,720274.6882178874,1073444586376.236,1036071.7090897888,84392008.54052296,0.3365108283079167,1.057020509427954,1.0,0.3780455382916367
428453.97374949325,554730566090.4303,744802.3671353564,1156075.8103109598,4760154833349.003,2181777.9065131727,405034.31762186676,291011187558.5049,539454.52779498,823193.4093811013,3851620235819.2305,1962554.5179228093,112548617.73533271,0.3583371399614337,1.0341670847796705,1.0,0.31328425071412314
278720.68612106907,121568351549.75922,348666.5334524655,730345.9831242709,1552879724257.4678,1246145.9482169284,256653.07775096316,133561514237.40675,365460.6876770835,628225.0417876014,1072573138148.818,1035651.0696894095,69304086.50394915,0.3724047732129155,1.0617882157286977,1.0,0.23621639931014538
454204.30444401933,359236443108.8927,599363.3648371351,879580.8959266177,1819678901717.5725,1348954.7441324978,332445.41710367793,191962334083.17172,438135.06374538405,788030.2940988906,1681511504897.0747,1296731.0842642258,83625884.93327346,0.40238766782461005,1.0796143473094015,1.0,0.2824112104225427
482731.97981206106,632164058029.5525,795087.4530701339,1106103.7261754393,2003637236989.3972,1415498.9357076173,277298.397445884,154495432490.71304,393059.0699764007,732385.6600198816,1290660611446.8088,1136072.449911012,103888514.40384983,0.3708362979125458,1.0485416070607447,1.0,0.36930357600364616
366039.0867217761,246867299482.90363,496857.42369708396,1007028.7614574609,1601915126036.11,1265667.8577083761,270781.2063974267,136080064649.76535,368890.31520191114,593489.0234195201,643735464884.8275,802331.2687941481,95425061.29812786,0.3465288550961461,1.0687994266016214,1.0,0.32949854743919715
368691.1989138974,233253994740.99286,482963.761312371,823891.1056361438,1186066738364.7876,1089066.9117941228,367874.3511010401,241682846865.3658,491612.4966529694,757211.2039393728,1075574900349.8157,1037099.2721768807,69072775.5078875,0.3532492577212063,1.0664580620038389,1.0,0.34367106726071217
291934.0921232531,170076655289.84576,412403.51027827803,826175.7951435834,1323595567554.6677,1150476.235110777,280832.8903676115,154093373400.90353,392547.288107947,675915.1808614869,1053800543340.6858,1026547.8767893321,78050469.5372908,0.3857585442506059,1.0509923337298113,1.0,0.30083695871893923
426088.59407098766,427171944285.12396,653583.9229090048,925467.9696864021,1533842019003.166,1238483.7580699902,289221.90077116224,153974678562.01407,392396.0735812912,707415.5008781835,917896150016.6235,958068.9693423035,81100131.18555509,0.34128413992594764,1.0520745214576108,1.0,0.2822368543205081
