target_rmse,target_mae
1244267.6292859402,897595.0975938416
1126113.2376023855,799299.3573186493
1261896.123989486,875532.4755057526
1208864.5715504128,823168.1825831603
1335104.0997320625,930751.5731497193
1104101.010739925,768183.7710567474
1356939.4067294449,968044.1983913422
1861112.4130620419,959345.5319612931
1624506.9366349075,996471.3160235595
1081909.9412314808,759060.099527359
951875.0560376159,710361.5986330414
1429066.7826583006,1025726.1282323456
2327465.267325726,1106045.2090643311
1061116.9338421335,738464.1716291626
1501720.3637517742,1025741.5835049439
891038.05636743,716833.4240006256
1967436.6573023533,1181314.454249878
1063062.8351599863,786400.8502745056
1333050.9724534468,910540.6147239686
919878.6658536047,686567.6516855621
1238137.2645370197,864611.7966526794
1482519.5242153395,841779.7521826172
1180869.543949325,788622.0078674316
1535026.0902408306,982440.9673314667
1423048.552209644,907741.7908991455
1603424.3738551538,953060.1240613556
1339647.7365400095,914104.8777322174
1322134.5056698134,927042.6479118348
1667191.2973987306,1036599.9436328125
1465768.1016181952,914581.3329190826
1332670.201156889,922047.1364582825
950313.8980265895,711602.3748905181
1716138.8687206681,947964.5053652191
1154793.4472914645,841975.922256012
1225726.7214436727,899822.5979636979
1253752.3278758186,866436.8133551788
1352358.2650277377,883565.5963647461
1066618.9097136136,798980.2929093171
1578404.9067375665,942060.906238861
1719276.29567629,1010585.4444399262
1583291.0273761442,1008527.4215211609
1591412.836683338,1020606.1802197265
1788848.4131453969,1050668.0857019043
1062100.947445911,800735.8131924438
1045469.4035622238,726613.3827652222
1613874.3514028487,954918.5235665893
1031327.8690965377,711580.5545856842
1195074.8448909484,860315.3864163208
1044919.4373415892,781405.2241383361
1212135.2374578945,860033.3040733337
1426732.982909537,937089.5908068848
996761.2070668441,804261.4320552063
1470862.1101749667,975473.4692175293
1443486.3281989768,918006.7665289306
1769663.7000322212,1104941.7580768585
1996823.586040801,1101770.7923520661
1075623.8271394616,849371.2244762421
1085669.4662270434,793254.3741738129
2003774.4095893265,1072886.5234026336
1301138.588149456,902241.0766374969
1417565.5003711549,972944.3159108735
1196456.2932313809,886384.4238252258
1229642.3743765554,822174.4524212646
1490603.776583227,939827.408336145
1085817.4299955955,768615.6390624237
1015986.3075815508,727936.0782619766
1354641.6968526575,821919.9103788101
1850831.4133003035,1003511.4967881775
1203476.0640061598,810602.9392002869
1093429.8544603395,759202.6255602264
1223286.2176368847,865426.9044590759
869355.5297867862,647082.9755594635
832233.1490697026,684254.6854389954
1177023.7408372941,755683.3694272614
1119779.2331502144,791156.2052182769
1125012.33961083,803170.7129562378
1228790.1361610978,821929.0198787674
1329610.4983211907,894959.8903253936
1894139.9331845336,1016325.0490664673
1162207.3747878408,789937.3121989045
1646927.952173325,902968.9094359588
1129930.6339784635,765958.4037691498
1196101.9615951783,830140.047166214
987578.5513206279,765507.8369017792
1222412.602576392,846440.3871239471
1326199.467718486,880003.8479937745
1200025.8027713278,832923.1835436248
1299840.9447058418,832835.2897941589
1279578.0929088923,844115.25477854
2023428.6098998892,1023212.3359081268
1368840.0910958264,860253.9446385193
1360898.9682014182,870131.9805271148
957461.3991755105,729056.5476049042
1271625.9048325436,908037.8303720093
1299719.953884525,880462.7446995544
1564655.3701476785,949445.1512560272
1134973.897360428,814039.714921112
1246589.184344403,850213.296867981
965904.5015149529,781754.0479216003
982411.4238173524,755462.9308859253
