target_rmse,target_mae
1107766.0,651718.3
1183744.1,690387.94
1330155.8,792882.3
916759.25,602386.2
1556629.4,822860.0
1142311.2,671245.94
1238116.5,729846.94
857358.6,570415.75
1208997.1,740278.8
1257799.2,738923.75
1004674.6,762931.06
685826.56,519348.6
1060777.1,610895.9
703772.75,602528.8
1680217.5,742011.25
711192.7,597416.5
1132600.9,625133.06
618340.56,542666.25
784004.4,572361.3
831964.9,652122.25
989734.5,713500.4
1051404.4,676797.6
920756.2,647305.5
1199802.0,698150.56
1016583.94,629145.4
891024.94,625085.06
736826.7,594916.06
751237.94,564541.2
968944.25,665945.5
1027412.2,619955.2
957551.75,722430.25
749781.8,577251.6
1014063.3,697503.8
792085.4,563284.5
1655230.8,904272.4
1087371.0,737311.4
830042.6,672199.25
1051438.1,661597.1
735891.7,554117.8
867507.6,669758.06
940775.94,633495.1
976824.6,671715.7
1024222.94,656170.5
965860.4,653467.2
951904.94,675985.4
733908.25,525080.25
1718505.8,761566.06
979608.56,731366.2
898102.06,599788.4
1308736.8,676838.56
907950.25,625277.5
909742.0,689573.06
835837.44,695244.2
938867.4,585400.7
1254020.4,603603.6
1049586.6,777491.94
986314.7,645112.75
756906.56,669848.0
1221482.6,790318.06
1038356.56,717795.5
995521.56,650904.4
719932.44,590583.75
807912.5,666368.6
1103583.5,775381.6
893777.6,644357.94
1128335.5,570672.75
1314114.6,829070.56
1122998.6,670742.9
1131678.4,702050.06
959277.7,690466.94
677733.5,473779.12
1286692.2,778131.1
1046792.94,666625.4
1047635.3,680230.56
1089150.9,644357.8
869934.5,736531.5
836512.0,634449.5
1001510.7,675599.2
915308.44,645627.2
770075.94,599090.06
,
1096025.8,674963.5
905971.44,589431.75
844167.5,620051.75
1747304.2,747955.06
631552.4,518897.25
637809.06,555826.8
804371.56,599441.3
955750.25,646652.6
948107.7,633760.56
834947.25,606411.75
1246607.8,649069.4
1341365.9,765847.4
1603907.1,887221.75
802279.44,536219.1
702607.94,507255.6
1295108.9,696642.06
916022.8,639695.2
1003592.1,686225.94
860491.9,612380.2
