source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
393494.14884105633,330678153971.3267,575046.2189870713,768997.8678823482,1299878637092.7476,1140122.2027014242,186938.88440647014,67740354440.36073,260269.77242922533,561961.2196669435,850932028323.5995,922459.7705719201,,1.4309287949308311,,,
402570.3269673119,256804595736.72238,506758.91283402446,1225986.0820618286,2723605623869.1816,1650335.0035278236,263081.60519510915,178539091552.89737,422538.86395560985,515334.64213102864,455288468666.21326,674750.6714825953,,1.331056096098473,,,
335852.09765272826,205915088665.26202,453778.6780637253,982042.8290262616,1931732833831.4082,1389867.9195633691,368977.1223393996,482530794010.6222,694644.3651327074,561534.7994212091,846328959329.9475,919961.3901300138,,1.368898792362434,,,
297213.2602382679,181525379818.95984,426057.95359194954,638620.0318376764,943317886180.3417,971245.5334159029,349097.82518774085,326175804181.8046,571118.0299918789,497015.1473077578,740319086689.5044,860417.9720865345,,1.4034828412938745,,,
308411.9514566856,180454481131.33447,424799.3421973891,728820.880126661,1434319212795.7354,1197630.666272259,302773.2872795532,293947292134.14557,542169.0623174155,622656.9662650995,1310404554876.5576,1144729.0312019512,,1.3542082156198745,,,
288366.5637346562,131011510738.97868,361955.1225483329,691151.8704969047,840522286383.119,916800.0252962033,200033.09481337309,77905255426.57591,279115.12934016297,496928.4443848824,553592384281.9042,744037.8916976636,,1.3559672597835728,,,
335098.2667609193,259974206942.82684,509876.65855854476,665010.7631190317,815410959871.5613,903001.0851995479,242838.96541057265,108202578595.21413,328941.6036247378,486993.9569824107,418086772390.5281,646596.2978478365,,1.3317447489378957,,,
272057.68331156945,136286212487.21695,369169.62562921795,680150.5926027059,1110978965255.7852,1054029.869242701,281836.7681744149,134039892574.34499,366114.5894038436,515358.30124405364,803156250890.1659,896189.8520348051,,1.3056914008414908,,,
324264.5228155253,245770722201.41696,495752.6824954324,677937.8719294152,832585296354.4728,912461.120461838,271131.67539487063,148060372105.28815,384786.13814077055,484921.5652442316,409497339749.7953,639919.7916534503,,1.30651448534423,,,
322161.4552966779,157822781335.8131,397269.1547752142,803903.3138846633,1780937859406.2253,1334517.8377999393,253651.43994496678,129886997588.26884,360398.38732750854,626172.0814444756,1279804418678.6567,1131284.411047309,,1.4201684705489876,,,
222455.5518680532,86455972649.76416,294033.9651294798,728513.1107471696,2283992930393.647,1511288.5000533971,372205.41797272005,268111750854.5869,517795.0857767838,647060.2490814447,2376320606646.5654,1541531.9025717778,,1.3657131255582629,,,
303228.5048513873,161207078339.3206,401506.0128308424,834445.1391786516,1520355706515.1965,1233027.0501960597,313761.0456367162,178965204931.62347,423042.79326283705,630912.021257635,1119388473809.472,1058011.5660093096,,1.3186746801247202,,,
490882.5934785899,441176961949.5439,664211.5340383241,872520.2180963453,1272365124786.11,1127991.6332961472,240816.47009681282,110179425286.97887,331932.8626198058,521389.73788192356,402351080429.16486,634311.5011011269,,1.3507625289109075,,,
272046.7255708354,113838196287.02374,337399.1646211113,607594.4334131897,694966071789.5632,833646.2509899287,245153.12418706625,98719814284.26256,314197.09464643773,418657.81725827756,366672093757.9461,605534.552076053,,1.3372273768136547,,,
350207.0180992813,199281028831.89444,446409.03757864767,881896.7711076738,2669754545719.9014,1633938.3543205971,401396.6717400014,343088282611.23425,585737.3836551959,680395.270645197,2269340994716.3315,1506433.202872378,,1.3583968400194992,,,
313682.4194677394,180211458457.19077,424513.2017466486,802115.9986654546,1454684827176.098,1206103.157767236,360652.61954150157,313117272503.8601,559568.8273160507,631778.733415224,1005836442471.8442,1002913.9756089972,,1.2951950045862501,,,
385111.97835276223,358261025192.7113,598549.1000684166,830701.9030141872,1084653390575.8152,1041466.9416624876,304080.24351287825,207987089947.9085,456056.0162391332,576651.4428707387,583875090716.1117,764117.1969770814,,1.3866106558849203,,,
340767.17685444443,248382813933.7769,498380.1901498262,738701.4938974717,1112100113107.5593,1054561.573881563,330484.05077925464,235927992917.791,485724.19428909547,521399.4100421504,614319826810.6232,783785.5745104161,,1.3100541714643055,,,
253807.45138898995,111900787159.39055,334515.7502411367,621724.5827329879,1066139159196.0107,1032540.1489511246,319339.89310045633,195123457147.5667,441727.80889091274,540602.4544856881,972923997712.8778,986369.0981133167,,1.2908489982147304,,,
302646.0171641648,184852229562.6789,429944.44939163816,893046.4794685959,1412381930036.914,1188436.7589556098,402138.9605024357,296696565182.7721,544698.6003128446,630421.2125807708,896351071141.2499,946758.1904273392,,1.3885862502966446,,,
367964.3663003342,365902689727.8974,604898.9086846639,851312.3307203555,1304981464221.0488,1142357.85296073,247660.47980040708,114708613971.51994,338686.60140536993,601000.1544305213,776651198695.4921,881278.1619304385,,1.3892483248874885,,,
340605.16145836737,183407796180.2678,428261.3643328893,728975.7980332349,1138636220004.0928,1067068.9855881357,370844.88721780764,285684798486.28186,534494.9003370209,467584.08585168706,658310597978.6908,811363.4191770607,,1.3658622011224761,,,
