source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
382197.2280784988,326609993150.50275,571498.025500091,801540.4469352105,1327639276830.9656,1152232.301591552,178312.51922691215,60525944731.274216,246020.21203810515,654324.581432289,1144365442865.372,1069750.1777823512,77041886.19371781,0.3977107000960259,1.083080959635525,1.0,0.26205036833633216
400076.8152558576,249047931068.68704,499047.0229033403,1172057.3268926975,2554160458727.17,1598174.101506832,270878.0655074222,187374229858.3622,432867.4506801848,531401.1363323069,565669345558.3298,752109.9291714808,107781292.96045274,0.36269204069200844,1.0691216395220224,1.0,0.38669417603787043
320943.63617915014,189625377772.43964,435459.9611588184,1016145.2964015588,1995893194936.058,1412760.8413797638,368684.404715418,471730106983.23303,686826.1111687827,686038.4382464637,1173412514150.6257,1083241.669319744,89366825.62080699,0.3638713339972153,1.0833404285704926,1.0,0.285985975330518
295579.5290378978,173885670854.52158,416996.00819974474,655582.2812233022,995910214537.9296,997953.0121894164,362391.0618789029,354504112148.8314,595402.4791255336,592491.8194725637,911824775027.0245,954895.1644170289,54161047.05771203,0.3890265010209006,1.090865223039298,1.0,0.23550296185968628
318438.03545660153,185808345374.60043,431054.92152926454,729105.3826248951,1420878589975.4038,1192006.1199404153,325962.7681445638,286487632026.33813,535245.3942131012,668032.6698288552,1438761335729.781,1199483.778852295,59013691.782246344,0.3751633658219224,1.0837407365793286,1.0,0.2673892277424862
278938.9098007145,124763196971.88542,353218.3417829338,672336.5772470895,764514270257.2115,874365.0669241147,208291.9815492417,83057880694.4045,288197.6417224896,614077.2777242359,790470936056.3531,889084.3244914135,62739648.03375182,0.34736751968878327,1.0899543138171648,1.0,0.24266954713670982
330549.10880650056,258661291834.03915,508587.5458896326,654891.573931846,827770816562.01,909819.1120008471,235423.0316565102,106324620548.87453,326074.5628669531,537296.2923297241,531680455855.9164,729164.2173447051,57403221.4575727,0.34214455118656023,1.08277262468861,1.0,0.25136737352327165
283312.58943386166,141357402150.8111,375975.2680041748,680444.280394716,1145935704699.9666,1070483.8647546102,260974.18859116736,117567189967.91537,342880.7226542714,585671.7722716202,969622892377.5653,984694.3141795658,62789118.84733248,0.37126786424206687,1.0868064522479708,1.0,0.19714546733340824
323956.0590702521,247349773845.7245,497342.71266976907,663673.9229727464,734982965540.6412,857311.4752181037,263560.30426007026,143113294816.82404,378303.1784387015,523101.32140039955,521006068844.7893,721807.501238931,57347587.76003703,0.3871052720577195,1.090657908577807,1.0,0.2308027527160566
310356.58359317755,159236997013.13223,399045.10648939456,807671.9420438509,1765232788635.872,1328620.6338288866,267245.9904210335,133266326130.35722,365056.6067479908,681607.508803142,1653762513270.9575,1285986.9802105143,75859290.02146575,0.36107280945641096,1.0777606307074632,1.0,0.2868213945460729
222285.52852729955,87427171323.17735,295680.860596653,715651.5514293344,2321557383430.4336,1523665.7715622655,391733.0117898972,288896079384.9299,537490.5388794577,667553.5470242541,2483699949486.7305,1575975.8721143957,75843692.4523682,0.3768238709578046,1.096110089786515,1.0,0.22654388789876131
293735.62255081785,159180647725.56522,398974.49508153426,841801.5760992983,1555831269537.741,1247329.655519238,306716.98133646057,162882403819.50577,403586.9222602558,661363.1181116257,1386347335352.1023,1177432.5183857044,77306654.4394292,0.3917599875729958,1.1016801151788131,1.0,0.24088287761733534
486177.5884419188,414975202113.0277,644185.6891557183,863837.5927345896,1334384493724.1904,1155155.6145057646,240070.004092667,110226546199.5187,332003.8346156844,684461.3256434224,874532243818.7585,935164.2870740726,84239605.36119789,0.3946198938756486,1.0983069412356226,1.0,0.29373549638931246
267042.5171970181,109270691051.3351,330561.1759589064,624617.6873277975,735000682840.2426,857321.8082145365,222885.8063627346,83298936335.3909,288615.55109763384,525553.166302398,649223608039.576,805744.1331090013,55765164.12791261,0.4092294275325351,1.084663477049122,1.0,0.29324677202583677
346890.03700427304,191496100332.9862,437602.6740468872,883665.1620522232,2596143048769.147,1611255.1159792005,414332.92660520383,359811795029.2246,599843.1420206658,658315.8542041655,1561085074829.0781,1249433.9017447373,87290347.12743384,0.37475358146580745,1.1053800890295475,1.0,0.21631057294684952
301410.1087495675,177337701522.86554,421114.8317536032,781832.5459753051,1416598865735.7087,1190209.588995026,381109.57083653635,301098110055.31116,548724.0746088248,684973.3198764153,1149879347534.9956,1072324.2734989242,75826435.9570231,0.38389302087454497,1.1009214705594226,1.0,0.3630406250094036
396974.5800252505,371542962193.7867,609543.2406267718,829862.365294171,1127043354346.2458,1061622.9812632382,313922.84981022676,219542314544.4123,468553.42763063026,673825.8265533256,775962087268.9027,880887.1024534885,71958262.61429894,0.38054172068523145,1.0728969324330822,1.0,0.34177097152173763
334790.726156153,238734203900.63138,488604.34289988806,713596.9468902373,1134100753284.6873,1064941.666611222,325157.0120989843,226527378001.93613,475948.92373230145,581763.7721318479,903866861381.4833,950719.1285450626,63163452.2974794,0.3616724644505125,1.0647010065558453,1.0,0.32598037150635656
244019.6996960933,110344981941.13304,332182.15174980887,644522.497436775,1126387618667.9333,1061314.0999100753,328219.4862415995,189997556965.80902,435887.0919926501,616220.0196357563,1071621785389.1798,1035191.6660160957,63206816.57690224,0.3590783137842988,1.0918944545039746,1.0,0.2052586497184622
310249.5180800772,194145670464.71323,440619.6437571902,902060.1859163302,1495842121545.2554,1223046.246691128,375802.0850874169,257714586410.97687,507655.9724961156,751303.4931636888,1283221772054.6284,1132793.7906144385,80280390.71094838,0.38250782698784247,1.0970386006516457,1.0,0.3061140221820903
375866.85520823573,329537047923.5896,574053.1751707237,884370.2445975697,1358052589956.83,1165355.1346936394,263918.8822419554,119980889511.29172,346382.57680098707,769984.2617306911,1334895721957.629,1155376.8744256694,80495791.49389347,0.3823266144493976,1.0865548902191695,1.0,0.2534558503779023
354151.5711850987,201753080030.62027,449169.32222784346,733780.4081581479,1217600252719.3882,1103449.2524440752,363171.9442534269,329086016667.8264,573660.1926818929,544368.629085869,831086391446.2256,911639.3977040624,71820632.35524008,0.36067842644088843,1.070239819287818,1.0,0.29583738096553025
404054.20134249504,319013510526.4699,564812.8101649872,831173.402126366,1438930480240.932,1199554.2839909047,394811.9444165538,339500437831.6926,582666.6609921084,760546.2863394154,1354311121526.2014,1163748.736423031,77673458.22173177,0.4137271547371489,1.0823910594894282,1.0,0.25605605863407693
272927.35425970354,121143262490.04836,348056.4070521449,621145.0524476486,612006753533.4512,782308.6050488332,229187.53959746344,122749549902.55588,350356.3184852756,524602.9131148618,457353400612.8632,676279.0848554043,55154095.751433246,0.3905162955737822,1.0905656049223795,1.0,0.22551523517343167
335261.247937786,178264053625.10364,422213.2797829832,666012.904900552,1088301569118.6207,1043216.9329140611,347393.9327867289,270269649767.47,519874.6481292101,647816.4037878285,1203064952933.9602,1096843.1760894354,56328062.01363921,0.36154102211868583,1.0891803644641505,1.0,0.2725067390192776
326796.05003399454,166561569250.5142,408119.552644215,611447.4132493311,755375117417.9834,869123.1888621908,308034.5901866147,170094777640.21634,412425.4813177968,578501.1350414392,741954170380.484,861367.616282667,51960503.467380844,0.36399113054693466,1.065173741769455,1.0,0.30317063460107035
292874.3594341289,146431483224.08588,382663.66854469717,788614.6743101359,1399550880560.1672,1183026.1537938064,420069.82444648904,321195980621.28284,566741.5465812285,723321.7310655123,1305272617203.5493,1142485.2809570674,73752445.1856727,0.39145844760754533,1.0836808701744025,1.0,0.2187828046451477
238013.39587467964,98819719835.62468,314356.0399222905,622659.61734947,678922355247.0616,823967.4479292623,299503.16544958355,156953340095.65497,396173.37126017816,511030.3941613532,495157807676.5514,703674.5040688567,51672781.11452096,0.4038704446841644,1.079252691630733,1.0,0.2941692389459042
249945.70242990673,102485157897.89691,320133.0315632814,675734.793946852,867098512318.6407,931181.2456867035,262791.4631119673,123482362203.97935,351400.5722874955,597502.0119269865,724067267373.0183,850921.4225608722,58954702.70778876,0.3731323822022877,1.0958744282212431,1.0,0.33310300264247195
