target_rmse,target_mae
1292190.7611216656,850860.1023306963
1384433.3278380272,880272.1498245144
1505508.555130824,989018.4720422989
970560.2210507853,748437.5566391014
1393480.8005474291,971893.0884436531
1209862.0789855216,859861.2214727488
1128440.8413009332,821480.47877726
1264724.1022774116,827767.7803649061
1032655.881423889,789578.3399016893
1631137.9597242957,964852.803725717
1523628.155244129,812861.86923525
1281908.916378123,808667.4500809908
1228868.747167873,884647.8304041534
1147553.0295330472,768190.7865231874
1022563.4591220602,717121.7866296576
1715423.933932762,1060882.7526909797
2015413.1676901898,1218904.817413584
1711153.7372577821,992849.4667851885
1185105.3604911235,838074.0290528007
1834052.3297847009,1024916.3881769323
1638923.3679148026,913919.9408707516
1493672.8835771033,941937.0082221719
1026229.8373111117,756549.6666681902
1450486.749688306,957915.046217745
1222176.5659695193,835640.9356661533
1310378.4786188044,943391.4292557945
1291977.4695877538,859618.2513148579
1418767.6129727676,867725.3219018123
1430656.9161079882,881129.3121420814
1438397.4265052332,783880.1721110931
1076417.6526067543,756264.5618595352
1328335.8333055247,879777.6671553106
1048197.2517389575,729645.6084322457
1351403.2545701258,839882.4158500421
1097066.3764947474,758089.2179684086
1354954.9364503187,886856.878018142
1335938.9810150452,894458.334420378
1331754.493636036,969803.901394387
1163915.6407428163,826980.5598792023
1409973.3158199787,955512.6969408327
1460948.7687427653,1033753.1392751564
1335249.8470226345,865973.3359345006
1093802.213048561,841656.567294219
1205272.2304087915,867757.1569341397
1255163.3206428837,851671.7609540126
1236447.424061308,810433.7837123295
1944397.5630613125,1068902.4780533202
1520838.233144485,985683.6318408644
1334154.6563487323,860728.7994429154
1194345.5643632282,831777.7421594523
1672369.0359099943,982895.4246997398
1449492.2367225124,935635.1063529124
1355250.4702163942,899009.497735211
1264835.1826730357,821949.4607553758
1360902.13380809,889240.9088948003
1505148.1761841276,874599.4991209205
1360870.5653284523,934438.187327883
1157975.7794926297,821517.7097794801
1320375.2730891176,933326.3824590626
1330105.3963704705,906143.396094352
1553127.1543603637,956661.5184766653
1388219.2851526486,943503.1080493213
1836116.500339597,940673.3039918205
1569450.7203686186,975924.6672129643
1420237.3136183098,922718.2494631348
1107874.2046687717,790070.9504439854
1340300.0378055803,984141.7251433857
1212311.1724233902,863377.809448108
1199123.8154751812,732782.4765737206
1961909.2180180948,952924.0844715863
1238562.4462224226,863857.6639801897
1944222.2242529145,885051.5351037525
1093275.4973272379,770407.1036360556
1303024.8403947817,841967.4650724956
1215102.1238021816,859913.5065738471
1249770.9213427093,825490.6640092566
1315007.8396409266,761845.0704022013
1425984.5256909428,889386.5413269874
1292511.4278733677,885003.108212244
1287090.4596074035,885248.9924001021
1181796.6886908633,856364.4143821294
1186090.8216530273,818345.3122604861
1220562.4006599444,823792.8603360226
1110789.48685139,836245.2024129122
1132939.534830282,814444.2624090948
1309284.7167550896,911756.401924877
1232264.779991348,925246.2206645428
1104948.6897030545,773286.6084525553
1452878.1272666617,923828.940966281
1349872.3348114493,861306.7352673335
1144998.743637989,827931.6877153168
1346765.535334651,788912.9125965763
1275224.5520889703,885976.8967804711
937345.9988560732,724190.3470052942
1970603.5898994873,1037959.7673979399
1460528.9625903952,1000208.926536038
1326747.064651179,918978.6579885727
1046460.085464556,761833.240700827
1235288.1850655796,902303.9394159821
1233508.7204034925,834153.0687808202
