source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
381854.687290378,321991489879.98334,567442.9397569268,600708.5678941257,1000112840812.1981,1000056.4188145577,176462.08217195622,60540915928.97166,246050.6369204755,767284.6228388768,1335246221882.0928,1155528.5465457323,,,,,
383203.7238134148,235422649452.75537,485203.7195372222,590476.5063133293,536289602815.6306,732317.965651281,264409.6481228967,176277745073.71613,419854.4331952637,1179838.346728128,2607559212656.061,1614793.8607314746,,,,,
347854.99667549715,211984341527.81577,460417.5730006575,662447.9216779773,996333574610.9915,998165.1038836167,367326.22938398644,504973474664.44763,710614.8567715479,961128.5954157679,1888369861650.9243,1374179.7050061992,,,,,
296825.8975570152,175708613804.18008,419176.1131125915,512077.5293013983,771994065773.5863,878631.9284965612,356357.94424770924,340993325454.61523,583946.3378210495,694771.2478101376,909791094157.2031,953829.6987183839,,,,,
318533.1525450161,187305180418.2383,432787.68515085813,672206.0871236853,1373579335605.9138,1171998.010069093,306500.80857031804,292400633970.42865,540740.8195895966,738789.2551259107,1413590584736.1929,1188945.1563197493,,,,,
290164.0423181521,128986626756.45444,359147.0823443432,535523.5447564722,600566353403.0544,774962.1625621824,210482.6400343148,83420218103.18575,288825.58422547294,669234.3297986365,780449510191.0284,883430.535011683,,,,,
342041.3388956163,260504969585.56308,510396.8745844385,526292.9190888826,472174659446.37866,687149.6630621153,236772.17923856337,109130085559.93578,330348.43053953775,662797.6901850476,824206995324.9797,907858.466571183,,,,,
290227.9879425426,143424605648.78818,378714.4117257596,545198.994849046,879939677930.9155,938050.9996428315,267512.7275735338,125554516371.44481,354336.72738151887,667328.4923648264,1134291905651.487,1065031.4106407787,,,,,
329261.8715177921,250851473845.0908,500850.7500694102,490226.8052180909,406264219317.7589,637388.5936520663,268624.473901916,151706789891.64386,389495.5582437929,667573.2057978655,746191836139.4102,863823.9613135365,,,,,
306902.21397346444,158188858548.76086,397729.6299608075,741248.0999891206,1603019550817.1406,1266104.0837218482,253993.34327810872,126682060105.7754,355924.2336590407,827043.9245588674,1719132817895.5059,1311157.0531006216,,,,,
228181.40810515513,90263763910.73036,300439.28489917953,678116.0167824184,2423297604868.6562,1556694.4481396007,355358.82834787376,243452437333.21262,493408.9959994777,714538.7013979551,2284026837069.049,1511299.7178154467,,,,,
293902.38282591314,161288685316.7917,401607.6260690174,670332.595425814,1227743466386.9346,1108035.8597026246,303906.6361560272,170112698539.7845,412447.2069729464,814550.4829540055,1522368095157.2744,1233842.816227932,,,,,
503787.62139466853,442480768105.4142,665192.2790482569,585698.8131813435,492029835601.42944,701448.3841320254,243409.176973671,112883422006.32465,335981.2822261452,850213.7377516285,1211922421438.0295,1100873.4811221631,,,,,
268120.36905988085,110284322285.78883,332090.8343899133,464249.0750117956,423361069673.06213,650662.0241516037,223887.58661207833,91606758846.1478,302666.0847305951,597337.9928167413,712932922274.6403,844353.5528880305,,,,,
345432.5228080481,199328866541.6485,446462.6149428959,738015.7278064414,2427824147733.648,1558147.6655739814,381909.1397656768,330137131274.1949,574575.6097105017,847653.7266539928,2279547129495.3076,1509816.919197592,,,,,
316341.4573510339,186737194799.63348,432130.9926395392,669287.2041548904,1059362759720.8208,1029253.4963364569,381028.6029331786,299713578375.0035,547461.0290924857,807977.1211501413,1435718326477.3274,1198214.641238091,,,,,
396689.55696400214,355334447376.0286,596099.3603217744,623222.0985783745,671405222335.8232,819393.2037403185,315542.82302638807,225413939376.66925,474777.77894154785,818696.7281230356,1115784328089.767,1056306.9289225396,,,,,
333154.41431822156,231238644706.05115,480872.7947243961,590562.6776605705,772350699371.0875,878834.8532978693,325684.5618259306,217706175777.47192,466589.9439309338,741464.8171546821,1169756000122.4382,1081552.5877748332,,,,,
239363.09163622404,106746423500.48848,326720.71177151974,549851.1326966798,997849102455.4215,998923.9723099158,333211.76751538547,205462081443.91867,453279.2532687975,615708.3229013683,1035078267273.4497,1017387.9630079421,,,,,
305956.7929469012,192277627975.4292,438494.72970085876,702623.6679060818,1022957800129.6964,1011413.7630711263,340952.5870339803,199626596815.33652,446795.9230066189,864695.5490952418,1429078938611.4343,1195440.8971636507,,,,,
372991.7481407857,322791122114.5667,568147.0954907424,618632.8594976758,889597660333.8152,943184.849503964,242920.7998043818,109439963980.19415,330817.11560950737,909596.0340381705,1310463780161.363,1144754.899601379,,,,,
331369.1858906177,179941846568.0637,424195.5286988109,515933.8239857632,705683657012.2485,840049.7943647439,388084.02396477497,324434686694.11597,569591.6841862388,725948.0588878487,1037781802539.5758,1018715.7614072611,,,,,
397977.03412042983,306418812472.45917,553551.0929195778,653437.0630148458,1016162073185.8153,1008048.6462397613,386895.9412650943,330731136639.5041,575092.2853242808,853015.8092206132,1448545379689.0532,1203555.308113862,,,,,
268005.4447318419,124011296957.85634,352152.3774701178,491306.612677505,383268486866.0605,619086.8169054001,221051.93757180314,117757140111.57785,343157.6024388471,598121.1466447089,559777480793.8171,748182.7856839645,,,,,
341213.5310447744,182014886020.40176,426632.02648230916,611893.3034335256,1135287827753.9702,1065498.8633283332,354664.2482989797,273064259427.8087,522555.50846566405,655313.9661885101,1070231269429.6095,1034519.8255372439,,,,,
324817.0235538685,165760321591.57312,407136.73574313225,546563.9235077485,711634082044.2577,843584.0693400141,326649.7484092512,177147166930.08087,420888.5445460364,616435.0404566863,745300837657.4468,863308.07806799,,,,,
285658.14789734303,150060091514.7877,387375.9046646909,677203.2505444163,1172772159454.5303,1082946.0556530645,412715.36839491955,354158258269.3215,595111.971203169,803470.2845922044,1335106104391.2246,1155467.9157775107,,,,,
238201.7408986255,95163281733.1975,308485.4643791138,503724.11035673897,459355534512.3063,677757.725527571,297591.7388769377,158340582375.86758,397920.3216422448,614306.6825623228,692496839024.8788,832163.9496066137,,,,,
237345.30550291686,93034664646.33734,305015.8432710297,562944.1691242632,589762481238.4038,767959.9476785256,267405.2407437763,128453284634.84612,358403.8010887247,699124.8419471985,904410626413.2935,951005.0611922597,,,,,
308886.5248476819,172826783760.33188,415724.40842501883,616555.1823297403,714625415424.1006,845355.2007435103,318238.377953973,190874437204.9742,436891.79118515627,764809.6638888388,1059780941934.7476,1029456.6246009336,,,,,
303501.70828696765,162567957395.46466,403197.16937928105,640350.9138911082,1160041180456.359,1077052.0788041584,329593.79765063827,225308614276.35474,474666.8455626059,760480.3626774586,1308563400228.7815,1143924.5605496813,,,,,
253554.06434179874,112089942500.35138,334798.360958281,511975.8535680004,550549918897.7089,741990.5113259258,249925.78738977955,109318006894.4976,330632.73717903014,628286.7148699164,767476789413.3397,876057.5263151043,,,,,
343141.52752522205,237908946750.81088,487759.10729663563,466882.5104686878,417131786505.41583,645857.4041577722,242221.45462221335,139392606756.92587,373353.1930450386,554856.2697141332,552155338341.0055,743071.5566760751,,,,,
310839.989753506,170834387771.67844,413321.1678243427,748708.9038947937,1220506147725.8608,1104765.200269207,355409.8554500942,210286320481.75012,458569.86434102943,777300.0162156273,1176539285444.4985,1084683.9564797198,,,,,
324440.374426149,217283430725.09674,466136.7081930973,688634.1453656489,1556533189500.5269,1247610.9928581612,456448.34633362025,428865120294.53406,654877.9430508666,878506.6247567203,1970396616435.989,1403708.1664063898,,,,,
300975.873363068,154552631757.8133,393131.8249109493,744619.407706307,1263655151284.4893,1124124.1707589466,380568.65238906845,264165536176.74637,513970.36507637904,822199.9900434617,1543860529799.8318,1242521.8427858045,,,,,
310010.6128709048,178161978343.97586,422092.38129108166,489961.2168959193,359192900856.9751,599327.0399848275,224577.92438193486,100747352804.23752,317407.2349588735,657028.4089853717,710175628283.3164,842719.1870862538,,,,,
346770.9291119434,204991816109.61472,452760.2192216259,577477.624563375,572929645141.5073,756921.1617741357,296275.6036775257,171712245099.08368,414381.7625078156,834366.0339579418,1143371266219.3386,1069285.3997971443,,,,,
