target_rmse,target_mae
1337721.6526848935,834890.8219846344
1459206.3268357068,868630.0995973205
1580720.2677887832,869700.2884000397
1628977.1522508452,1010657.5034886933
1232162.569621891,896310.4827656555
1209376.665554403,847786.0605636596
1502360.6594263632,873794.8681848145
1244001.3227854336,863357.0122481537
1181972.4457465354,814359.4000544739
1172286.726318977,844510.7679512787
1808373.1994391864,963437.8187303925
1211931.6024048848,791639.0522032928
1504044.3524678177,888502.8128003692
944730.2159024887,672297.6744197006
1563520.8569778246,927112.8710123444
1111918.7608420127,814055.6773708344
1603582.5700250864,987913.6661181641
1332661.1700923238,863527.3851893615
1011235.0124565416,712303.0635094452
1002870.2852976233,704871.1942860413
1800631.9677684144,1020908.4399954986
1200323.8806013921,837900.7355391205
1245253.8001511346,891636.8948925781
1416068.4700938193,940118.3791140747
1371707.181557394,889501.3882328797
1424197.0609775065,944758.1326849365
1130524.655371688,816429.5273596954
1065845.2872900858,773650.8115580551
1353265.3359704572,857347.2302107238
1116216.8088388864,828567.1674916077
1278055.9798648148,926685.8455717468
1354738.3976760225,924263.0381706238
1678566.1680977026,1014852.0219483948
1364966.3798432034,890005.6977319565
1069541.5420607168,772503.960885315
1558998.419733013,1040586.8584333801
1280100.0078421186,917309.1769033814
1436700.2027237667,911746.1541913407
1044799.7490582913,705292.4930896759
1008076.529118648,796268.8951194764
1054742.7067752238,689500.1889621734
1230566.1481487493,891535.7286199951
1386924.2605176517,943633.6714214325
1119165.643250358,789332.5893822479
1123997.6400543416,777879.2158878327
1159963.1211379957,875182.9379152893
1063630.2614906523,780036.3874209594
2010643.0339024663,1060141.371963272
1061223.9968655775,736727.808288617
1393614.8822341736,842205.7213600159
1119020.8921087778,795322.5026392364
1434206.195760679,864781.1872766876
1357002.7270674796,952520.5472440338
1273528.20214096,910692.1462327576
1400165.191025935,910595.5231590271
1338807.2529171994,886518.2415238189
1770941.0082077135,1022843.1852806092
1201191.1987593898,753436.2349365235
1133044.9504967523,820847.9589048005
1157337.8635946386,820084.2251552582
1928199.4640866125,1022760.2073271179
1182757.6015734654,793557.4393885803
1170886.6581916485,894331.4643718719
1983631.8975225573,1071657.3146485137
1113419.3669805392,734521.1271835282
1368825.421553859,971844.2153118134
1189477.2607732425,876074.2933096313
1292702.350866184,931022.0386669922
1685650.7985218198,1047001.4014822388
998740.0954654056,691640.4572200013
1395632.9035160579,867724.1594545746
1097835.7458663613,789245.0764146424
1350740.6328187883,743898.7087006378
1336928.1121681242,895322.9276127624
1185584.3568971104,846147.0971987152
1455802.9583289367,941626.2751314545
1406907.948737055,898307.8064321899
1029783.9606641661,737631.1106059265
1060471.6919180187,755780.7850585937
1367955.6428047188,934514.9325774383
1277116.223059684,825064.1753791809
1370327.9531133901,932018.0100383759
1306613.3634802292,758592.4206918335
1507420.424310025,858765.3612316132
1396714.4964756905,977534.8141924286
1821961.9026285731,1109654.0395729064
1257642.8017484345,801491.0424147797
1118269.0681760397,720985.5277437591
2156652.4911628,1017570.0095674134
1237057.4396545603,852088.8768687439
1486455.0042413063,966532.6325821686
1209756.080237734,837630.6999125672
1137154.9093833868,824068.524818573
1207965.665475633,882861.4758737945
1441868.41102888,945881.356233139
1321490.7706109434,836091.295209166
1274405.2993400465,863827.6995224762
1000193.3786460867,733341.0010211945
973465.8298010423,747077.1400289917
1310779.1458632192,868840.8950789062
