target_rmse,target_mae
851177.5,591000.2
1010993.3,616763.75
838912.75,647661.6
808431.1,612173.75
,
893963.3,600616.94
812342.0,569921.25
1006079.7,665372.6
1310331.8,783147.25
1083048.6,668988.75
1373060.2,600093.7
1401756.9,719246.6
679917.94,453040.4
956492.9,613522.6
1237345.4,749605.94
,
801638.2,599381.5
1109282.9,777342.25
980572.4,584986.75
873199.5,552092.2
1032173.7,697157.4
806165.0,512938.88
895930.3,612851.3
854795.9,583402.8
901738.94,555796.5
809388.75,609152.5
1903298.1,776658.9
730315.6,537516.94
1069704.2,730363.5
2859794400.0,2859794400.0
1484337.0,742541.06
695958.06,499070.25
733370.44,566739.2
863785.56,488925.47
1170919.9,615232.75
777329.2,556540.06
808317.4,604633.56
943922.75,656600.4
1025480.56,590511.56
751661.6,542012.94
1000049.56,657207.1
1060686.4,704366.3
1774531.6,781255.7
727856.9,469766.62
744584.2,500661.62
710002.8,501148.0
1507829.2,620224.25
1075821.0,662123.5
871079.8,511434.25
1341057.6,716167.5
1140101.0,670743.8
1146068.6,650564.5
972307.25,666227.25
1191666.0,704075.2
806353.4,536803.8
834513.06,609783.5
812357.5,597887.56
654449.75,470352.0
1331936.0,716819.6
1417367.5,828372.06
992229.5,630145.44
871376.3,570040.25
884968.8,585272.4
755769.56,519698.12
735411.1,501357.97
1265367.9,673563.7
919197.06,630793.94
805013.75,541685.7
721647.94,534102.06
909133.4,555398.2
1877250.0,718542.8
1124838.1,606643.4
906400.75,574731.4
847083.75,559043.56
1078076.5,592630.8
776901.56,561356.4
1066230.0,692638.25
1225355.1,704070.56
1410702.4,754893.4
907534.75,579044.2
749307.25,548398.2
1103332.9,621440.4
843076.2,596446.5
682329.9,456087.1
1274995.2,688003.06
1051529.1,635776.7
990224.56,675323.2
934206.0,568831.5
910609.4,600930.2
822745.1,545307.0
866305.4,583350.2
900429.7,662646.6
699456.9,489862.88
1093238.0,582810.94
1115065.9,631123.56
762897.5,518680.62
1130707.0,630566.4
1321096.5,669189.94
1123367.5,594619.6
956373.56,594241.75
