source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
295434.81419160526,163553734597.0011,404417.7723555199,672084.0142244681,874493885169.154,935143.777805934,276404.39617483073,132076329237.13712,363423.0719659074,566776.9825558905,666935399879.3442,816661.1291590559,61941048.755389884,0.3743207250325183,1.0976854299147734,1.0,0.24824510421959306
490620.5746142648,469348177949.73645,685089.9050122811,1059460.479469285,1665958958435.7363,1290720.3254135794,271490.1677271395,146620690673.1197,382910.81294881145,726135.803195544,949380131599.1438,974361.3968128785,102103441.28636628,0.3627233381016211,1.1152075964162473,1.0,0.24347956167670176
307242.3590053908,168787704192.29953,410837.8076471292,606503.5344822647,941242522927.2968,970176.5421444165,367744.4416215716,356149729918.7008,596782.8163735119,529014.8905168844,851638809590.5508,922842.7870393477,56146317.86723176,0.37840591740547,1.0962574926606452,1.0,0.25018381193589306
303680.53090764576,179780833285.73047,424005.69959109096,816996.2990099713,1148972418941.3696,1071901.3102619895,233826.92426374645,132192726560.44237,363583.1769491575,531908.8504653067,597634687844.095,773068.3591016353,76072086.59042569,0.37757815545390533,1.1092776284208026,1.0,0.30855312714581945
313854.1120603847,215882230990.72586,464631.2849892115,707780.0300434935,1084923112138.3556,1041596.4247914619,372118.4422672433,298635408693.6757,546475.4419858918,502361.67992994114,699806951788.1909,836544.6502059475,69107872.65648296,0.37589195800873126,1.0954580746963556,1.0,0.2926107342516506
327962.5428573831,189127743005.6839,434888.19598338596,1029912.7204359255,1679721906430.5154,1296040.8583183307,295004.5697335495,143551773745.8079,378882.2689778553,650498.6798231093,1003390251553.7091,1001693.6914814374,100112597.18106173,0.35545621771762737,1.0963990192629403,1.0,0.2703205225867381
369724.2637872426,253962375171.42303,503946.79795730725,735183.7762914397,1024715749669.8687,1012282.4455999761,172410.04711266226,49151264016.89551,221700.84351868287,546896.9049668696,767070103713.717,875825.3842597376,72925747.39467251,0.3692759264457897,1.1090737770407286,1.0,0.2667952556000959
384836.6018876894,288802023180.2293,537403.0360727685,585925.5977125568,663401916347.3583,814494.8841750685,310365.91588366387,165762494203.89322,407139.4038948984,511632.53010259196,581852831650.5017,762792.7842150198,52798766.82319224,0.40478793194050117,1.0966390620234652,1.0,0.2671755643224918
309777.6955764517,180998991966.3665,425439.76302922895,766104.1703138415,1110589492600.9834,1053845.0989595118,219337.47254447103,79771288598.54192,282438.11463494424,584968.0154218546,714958930325.972,845552.4409082929,73348537.11069323,0.38928378372255257,1.097269902867065,1.0,0.28353448063173536
445867.0808103734,387071054077.3454,622150.346843386,834212.6366256311,1051607005546.865,1025478.9152132114,217036.198339729,85901678348.1462,293089.88100605964,678349.8746841715,728374188067.4736,853448.4097281297,79067042.10977417,0.38209181120193625,1.1046634391234003,1.0,0.2296594313010815
396932.0931677858,319803901866.83435,565512.0704873012,1053903.6495548985,2292511143686.4927,1514104.072937687,408437.57760323974,304028028223.55505,551387.3667609325,724383.93711203,1196773588659.2288,1093971.4752493452,95039308.04565278,0.346468764689134,1.0885818520004575,1.0,0.2433804861817553
385917.9970821059,351490822374.2148,592866.6143191188,1054855.1331619355,1790854397241.87,1338228.08117371,354905.735020956,324625682467.41876,569759.3197723217,733534.0877294855,1263270281590.9062,1123952.971254094,96600331.237111,0.3662462966134208,1.0961685367696303,1.0,0.2778603195250943
430632.70952712314,398336971811.53906,631139.423433158,870413.1331062876,1332182829664.567,1154202.2481630188,249053.53176431858,104071994431.75056,322601.9132487446,604687.6961723629,757586454693.7585,870394.4247832465,86493039.79926838,0.3853068423488717,1.1065443296541155,1.0,0.29588173079703345
318683.1560065693,184527950906.4793,429567.16693257564,659110.9371011227,829180981669.3392,910593.7522679031,251757.90583991897,133778102705.53471,365756.89016823005,487791.6572093044,605480044862.529,778125.9826419685,65232761.56845369,0.3862596223762516,1.096709391452804,1.0,0.26058970225088757
362703.9568994994,243810834043.98065,493772.046640938,816412.0812075988,1060474927654.8597,1029793.6335280286,243037.77394060657,110501995778.45564,332418.404692724,560982.8339740394,662233293490.6602,813777.1768061944,78866059.29690744,0.4040482387255068,1.1085713545563078,1.0,0.23762503321810438
451972.8202620898,391413054840.9083,625630.1262254786,862316.0829521216,1319751029074.8474,1148804.1735103712,313746.3446810833,202902231679.7959,450446.7023742053,634955.1120565019,703467576519.9105,838729.7398565944,77693906.14720948,0.36558201159506853,1.1100540075456844,1.0,0.2760666500099095
329656.8627357551,179885015178.74118,424128.536152357,775085.1425525993,964077062947.3514,981874.2602529875,168564.14715089038,50347586419.45926,224382.67851921916,429784.43522620527,342440060743.386,585183.7837324151,74842163.3689184,0.38192886940198373,1.0909374085115007,1.0,0.26850645260532874
317687.4991772388,200135924253.72775,447365.53762413096,756346.8783638296,1461155183973.17,1208782.5213714708,451639.16330709937,391796997748.3015,625936.8959793802,716940.9211439899,1383571367368.3335,1176253.105147159,75732296.01008739,0.3841933178508938,1.0978393517375946,1.0,0.2505349928941568
488911.6848412454,391552812627.8512,625741.8098767663,1990048.5205200585,6986152029958.472,2643132.99513257,238769.95769751686,99522464373.75856,315471.81232838944,662432.990970066,856989378343.6555,925737.2080367384,194468791.408016,0.34784752621135895,1.1046395080220701,1.0,0.3658074545697721
296221.5076632237,141751787273.92816,376499.38548944297,790343.9240267661,1161266613316.0718,1077620.811471304,283873.2203023102,129889494902.54764,360401.85196880944,588286.2139032205,749030057052.5774,865465.2257904863,73971507.74427076,0.4001659261320299,1.1005933924792508,1.0,0.30412585385945895
353473.63060165534,243227932622.92853,493181.43986055325,848745.5642458386,1526459358103.2944,1235499.6390542954,353320.9051603774,264452627948.63174,514249.57748998853,670115.4820307343,1199539487631.8232,1095234.9006636993,79686700.5263261,0.38909048305579935,1.0913199131147977,1.0,0.29503467087483026
370081.49985154043,293740205699.5286,541978.0490938065,746838.882716744,1306331041591.9468,1142948.398481728,304016.28728933376,145536500579.82632,381492.46464357106,613734.2148939162,1261671057227.6147,1123241.3174503574,73341829.5480214,0.3816568496990408,1.0940482540350245,1.0,0.3218635666150831
319421.4314590063,187972301002.20718,433557.72510959505,600745.55498911,571106304769.3269,755715.7565972321,245337.7771343963,127968773289.29881,357727.2330831115,542752.4970597269,450139556297.6345,670924.4043091849,51723833.3631348,0.396650788803294,1.1131674042476196,1.0,0.24670885992210648
362938.74865220074,223970484013.92474,473255.19966918987,642874.9146539413,741504560044.9647,861106.5904085073,205304.7368276155,76484610684.29344,276558.51222533983,498203.6764478626,398396507545.8107,631186.5869501749,61410365.447678,0.3507480988122475,1.1017781607001549,1.0,0.3488015390302518
345190.95132284577,261795817845.1281,511659.86538434704,885151.9667819091,1272257879277.6292,1127944.0940390748,302042.0472201009,210685899984.77835,459005.33764301514,583576.8476657455,779359083209.298,882813.1643837772,78659078.00353768,0.3867554327815876,1.1045204461480091,1.0,0.2341416991317213
568450.4388365434,584718143002.0232,764668.6491559747,1815864.564434157,6998784394541.34,2645521.573251925,285988.33964133996,185240655325.4316,430395.9285651197,949948.1446269713,6381567014919.282,2526176.3625921453,177104534.45627668,0.3724723452878434,1.0611757900640035,1.0,0.49367909807656607
341200.2856071907,206867802551.1425,454827.2227463331,828172.461685723,1175286792254.2292,1084106.4487651705,263639.4787710296,108513248312.45192,329413.4913941017,631137.9827535081,816946333579.4307,903850.8359123372,78073174.12811463,0.36217417167299465,1.0758235863289418,1.0,0.20324650448320342
501576.50913954613,437503206614.8918,661440.2517347215,1807019.310263785,5891278684306.996,2427195.64195122,407907.18651670916,336677473482.7886,580239.1519733812,642379.179536433,1044987867645.4583,1022246.4808672408,174481858.36138722,0.38124115836951267,1.1036241170301437,1.0,0.29197177464201124
