source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
272879.5032379257,147477308811.1679,384027.7448455618,558408.1932641864,612084396647.8605,782358.2278265248,285230.5830880184,150132857882.9091,387469.8154474863,707854.8315161593,958166022789.1062,978859.5521264051,,,,,
519048.7763198069,519559468296.06696,720804.7365938067,582979.8414147752,690099198224.4192,830722.0944602467,269871.1170051488,149292488981.58337,386383.8622168159,1043169.3266577974,1621213588727.1162,1273268.8595607434,,,,,
315679.93624567887,172060194493.68234,414801.391624573,549654.9201593255,912307008565.6874,955147.6370518263,364720.9526839145,350756957631.09314,592247.3787456498,622324.8199344936,1006891646542.5602,1003439.9067919116,,,,,
333454.8467542975,196262973594.6187,443015.7712707514,521946.310643171,419167621597.74493,647431.5574620571,232844.56953327262,133874952874.31145,365889.26313067926,814040.8719976663,1142263234348.162,1068767.1562824908,,,,,
308913.83519569284,206868621494.7129,454828.12302529503,544724.1697353174,725340339626.3588,851669.1491573232,356964.5438298277,299971123207.3715,547696.1960862714,701795.3811244385,1078425143639.9276,1038472.5049994957,,,,,
300529.6732596643,181593500031.56375,426137.888519155,654168.0801029131,831890282709.1373,912080.1953277668,299497.91839303647,143673465000.91916,379042.82739674574,1014247.9915349206,1685674211286.301,1298335.1690862807,,,,,
361382.7699693198,248658284823.63776,498656.4797770483,546567.9911995663,638814169335.5253,799258.5122071115,170377.1814509582,48995869306.87298,221350.10573043098,751392.069034132,1109476468667.4404,1053316.8890070263,,,,,
384829.203340991,296197473963.7493,544240.2722729634,457549.52519427135,384863986611.40674,620374.0699057358,288705.78487617685,151144483528.7423,388773.0488713721,562205.525289707,578851100924.0753,760822.6474836796,,,,,
311012.030908525,180504353954.32715,424858.03976661095,524836.6722706687,557357564222.167,746563.838008624,209686.7287121463,78829958652.68793,280766.7335221321,764603.8373042623,1127390300786.5674,1061786.3724810972,,,,,
444481.02485664043,366847913080.973,605679.7116306382,574069.0516338346,521102970672.43555,721874.6225435797,223495.52848680635,89356873076.60117,298926.2000504492,819287.9597479389,1062239558985.8928,1030650.0662135005,,,,,
397862.31959082995,311372519997.0172,558007.6343537042,711821.2487699011,1401808488306.4766,1183979.9357702294,397692.72914026544,295984911087.6195,544044.9531864251,1078181.5021113134,2398212609372.49,1548616.3531916128,,,,,
407115.7990607973,378743979089.39276,615421.7895796287,672893.5711576043,830398664557.213,911262.1272483637,363264.0959119158,322171686080.1582,567601.6966854117,1007298.8226533603,1692534699071.5793,1300974.5189939654,,,,,
441679.8734166324,406066901188.10095,637233.7884859064,554010.4043764971,428394549882.18915,654518.5634358961,253088.71000536482,108864628893.78424,329946.40306235227,845412.1291761894,1312220719733.626,1145522.0293532666,,,,,
314421.2488981396,175866040575.50183,419363.8522518385,467271.88185909047,509591897216.3719,713857.056571112,256549.52922537114,147218794124.4629,383691.0138698363,632175.3138759243,891135099954.9984,943999.5232811288,,,,,
360110.6727613268,245424396317.73404,495403.2663575545,536516.7271423182,491218448344.9919,700869.7798771124,257186.32378196326,118115287240.54938,343679.0468453807,783713.896479131,1023435955967.4374,1011650.1153894252,,,,,
444236.08601364976,380640848224.51434,616960.9778782725,558066.9430629704,639589945017.8871,799743.6745719763,326074.6724817079,205685899183.24524,453526.07332241134,922337.2356658733,1424430061038.8884,1193494.8935956485,,,,,
