target_rmse,target_mae
650152.56,473508.4
745787.1,498551.75
699843.25,527884.25
704236.0,541648.5
787466.1,547060.5
574255.56,441964.3
767957.7,517882.84
967173.8,636251.06
573330.94,434025.53
688902.44,479056.8
780592.0,569175.2
1056829.6,575529.94
750346.25,456318.8
670682.5,576005.75
819164.44,515357.53
653354.9,509981.7
610516.9,458118.56
436999.66,342998.25
659963.6,431919.2
817768.2,529169.94
542061.5,405426.72
577556.94,478300.2
563725.75,444417.62
942428.7,553221.0
612841.06,495402.25
921924.4,638842.75
752606.7,540076.06
1108478.4,546180.2
587403.4,447408.2
1030774.6,627809.2
747606.6,488845.0
801956.0,584883.75
764959.56,554088.9
549400.44,447046.9
594140.0,480366.3
603078.8,453355.88
645861.56,506693.62
620800.44,496881.8
585519.06,464408.16
631224.5,476728.84
487949.53,399237.62
1127536.5,641439.2
801200.25,536920.25
571910.06,414782.53
864205.7,571312.0
637192.7,508685.12
734638.0,499715.28
825390.2,537404.56
739867.06,538351.44
661115.56,561792.5
768750.0,528467.44
777269.5,573581.7
705296.8,516852.47
684388.25,512371.6
664559.3,512051.84
641367.7,514746.88
679680.5,438529.12
682693.3,490846.75
1150203.6,676177.8
884958.25,735618.75
720391.5,655473.44
715542.5,537969.56
681093.8,458137.6
772786.8,551420.75
832716.4,570562.6
674583.8,484216.62
646599.25,467291.97
580192.0,509307.4
748966.9,589653.5
737531.2,511226.72
601608.94,472207.88
480748.97,395675.3
806274.94,617155.1
627672.6,441197.6
866301.56,536862.94
4695226400.0,4695226400.0
532357.0,390886.03
791949.0,578763.6
659755.44,520931.1
1547582.9,681359.7
,
573202.44,487035.4
863191.0,569756.1
616102.94,462075.9
825331.9,522550.28
802673.44,453622.1
590904.7,426376.03
712271.6,497186.0
676729.44,459644.28
848177.5,569812.2
718840.9,549845.75
811736.5,559997.56
840152.7,520891.6
558705.3,443670.6
652969.8,499242.1
703771.06,575516.6
778550.2,538542.44
783436.56,548269.6
631705.8,484489.6
801032.1,606168.4
