source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
264339.78535798256,146201887584.70917,382363.55420556123,750141.1094208675,1094241579630.4426,1046060.0267816578,277389.9403231463,137574417149.66962,370910.25484565616,680598.4485503,991728109817.1339,995855.4663288915,,,,,
375089.76581321855,290563630995.969,539039.5449277994,602439.329375475,591423792477.7649,769040.8262750196,254266.3440382594,107272100049.54993,327524.1976549976,610752.1665158827,569975644506.8188,754967.3135353734,,,,,
315534.7751549765,178726855261.52988,422760.99070459406,778202.442007521,1008273916650.991,1004128.4363322209,217408.74169028254,85307006210.36324,292073.6314876152,862874.9774501633,1172491698905.5667,1082816.5582893377,,,,,
391519.9279672546,299354087487.0418,547132.6050301169,778189.5767618412,1233614096314.8,1110681.8159647703,281419.55588545144,142468565039.01633,377450.08284409787,855276.4252139346,1494576179793.4304,1222528.6008079445,,,,,
336351.808043586,212534541908.588,461014.6873024633,749882.7678593855,1043952413052.674,1021739.8950088393,275729.86883823806,169347339027.74918,411518.33376867813,716558.8209855992,853492755014.4169,923846.7161896593,,,,,
295930.0997483796,152834309395.76837,390940.28878560005,840553.8143811938,1267243136687.4307,1125718.9421376148,269218.1536593378,128022433353.58719,357802.22659115354,795219.9762841214,1243492508759.5027,1115119.9526326766,,,,,
429371.96037235705,378891599828.30005,615541.7125007046,720280.0029725519,769640905087.2701,877291.8015616413,182262.22535288444,58568003883.65964,242008.27234551226,765253.8238910458,922104017334.2755,960262.4731469388,,,,,
582707.5536219476,901747746505.5653,949603.9945711924,1043954.6296426601,1859485486635.1553,1363629.5269006004,300575.171885342,212132061310.60022,460577.96442144323,1069159.9076959526,2023853120493.585,1422621.9176202738,,,,,
276794.82677172933,142959603361.77692,378099.9912216039,811993.4298595882,1786209174486.2566,1336491.3671574001,248473.85873739605,101126576343.4284,318004.0508286465,859948.5458459525,1806559619164.8884,1344083.1890790423,,,,,
248243.73114212757,105770389213.99704,325223.59879626974,742232.3224499789,1012802315646.8031,1006380.8005157904,230480.4172187329,107855220642.79291,328413.18585402885,760640.4405411342,1120576550201.7275,1058572.883745719,,,,,
382300.34647797386,281363275656.9689,530436.8724522918,733152.8871020471,956082334744.7312,977794.6281017968,325360.21079552127,218504455084.9499,467444.6010865351,835942.3141573393,1442558257101.4968,1201065.467450254,,,,,
375473.3866712377,251337582680.9801,501335.7983238182,774610.4662343182,1439820369474.6086,1199925.15161347,381713.25385171076,244820867191.76645,494793.7622805753,824950.3924649532,1580035987724.7234,1256994.8240644126,,,,,
262358.0574612541,138450851842.3861,372089.84377752926,992880.6614924936,1605818230696.0283,1267208.8346819668,205088.63078594205,68867541652.2973,262426.2594564372,858626.3094288994,1429363137154.3818,1195559.758922314,,,,,
271105.9357762728,153410063869.94174,391675.9679504753,640376.822132828,808921003511.2495,899400.3577446751,208029.67380008084,77371441099.28987,278157.2237050296,674132.0062504639,906494996697.0337,952100.3081067844,,,,,
329301.0045058967,213351438115.81396,461899.81393784296,589526.1536916965,652593036069.7612,807832.3068990007,287532.2341558193,162831212845.05136,403523.4972650928,586013.5530821587,541137174758.9493,735620.265326445,,,,,
340608.6172429075,207558160458.96863,455585.5138818273,637304.8048422955,722199998704.3599,849823.5103269148,245632.18989330454,108786168970.55168,329827.48364948557,714756.2476529685,746447521821.7258,863971.9450431975,,,,,
232328.20087945543,95219526656.85956,308576.61391761294,611290.7796695665,1133214472938.7673,1064525.4684312476,186232.57616755724,58594345484.75191,242062.68916285282,697873.8761240675,1121692961927.5337,1059100.071724827,,,,,
307029.536507296,171970977422.49637,414693.8357662148,932479.0338289132,1705491323050.145,1305944.6094877627,256246.39349406358,108164586060.4832,328883.84888966987,1055426.2249248382,2002252929741.5032,1415009.869132192,,,,,
402279.9825359959,342508253137.8309,585242.0466250104,768354.2402208656,1075316485623.9208,1036974.6793552487,310552.1776675516,198485405802.4891,445517.00955461746,704071.1900248757,1051842526758.0406,1025593.7435252034,,,,,
280379.06569755205,150480766221.5304,387918.50461344374,755378.7313991273,1092283291993.7874,1045123.5773791478,311766.04103578324,168295316451.02438,410238.12164525175,770656.314990505,1084457214667.8071,1041372.7549095027,,,,,
236930.84791551548,94254882048.00954,307009.57973328704,934155.70723996,1531114835518.0215,1237382.2511730243,269971.6140727935,136972326608.7134,370097.72575458145,843896.2138902944,1122242257459.4065,1059359.3618123203,,,,,
389206.1429289043,302032912212.43713,549575.2106968046,985161.8552797736,1642907101535.5857,1281759.377393271,267459.12954281573,128122415293.0773,357941.91608845885,949483.2076074459,1354119291742.7053,1163666.31460342,,,,,
407581.3151308338,475575247696.553,689619.6398715404,674133.9514091593,1087781257180.2288,1042967.5245089028,344180.15584604495,227579336108.94165,477052.76029904874,910578.578545573,1902877416569.9475,1379448.22902853,,,,,
303099.2349178028,142888850762.9035,378006.4162985908,628363.2847318331,663812669354.6597,814746.9971436898,216047.96446958557,78989051117.26974,281049.908587905,772836.7179126763,979250476312.6572,989570.8546196463,,,,,
295446.4903112183,135941764801.45633,368702.8136608891,578849.5984328806,548559844189.99493,740648.2594254812,249005.80682273503,101099653608.14879,317961.71720530884,533141.3863962262,447567132474.6329,669004.5832986743,,,,,
