source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
267112.88554624404,152097865008.28665,389997.2628215314,736446.4925194525,1066727056948.5848,1032824.7948943638,272417.5089049984,135942625586.56488,368703.9809746633,600029.3468462315,809477404263.2317,899709.6221910887,67542090.94932272,0.38826920514464314,1.0856465231497694,1.0,0.3035238022149415
377858.42076011316,290930164653.0326,539379.425500299,590394.5976129186,643333124058.886,802080.4972438153,248210.0850956496,106493911420.27844,326334.0488215694,497133.2477270227,485814810656.1379,697004.1683204899,53380498.808470376,0.4033689451502352,1.0977437468719957,1.0,0.266206861591654
277566.44370833336,145485118982.88467,381425.11582600937,788071.1844284934,1038633756629.0548,1019133.8266533276,237543.5835805288,96355693079.94763,310412.1342343879,556924.6048600534,591501163000.5581,769091.1278909399,74456227.3543484,0.39549221371247495,1.0843353765496442,1.0,0.2898980792975321
375773.0925384913,278274560290.2518,527517.3554398488,744572.3145138068,1243783818768.497,1115250.5632226765,289614.7789922923,147419674944.82745,383952.6988377962,581993.1180273774,835256390843.691,913923.6241851345,73720807.63333827,0.36483070898175657,1.0995400885868958,1.0,0.22320147977598034
336020.77340771264,209792117184.46878,458030.69458767585,772873.7183357702,1057575907039.3782,1028385.096663394,289714.531682254,180978012894.6638,425415.10656612064,669631.0685022785,817355059813.1167,904076.9103417677,67786482.53140858,0.35636720101412556,1.0854746465950298,1.0,0.2959197694992594
288638.2093816316,149809900636.75165,387052.83959267323,851448.9728870685,1283425255896.3855,1132883.6020952838,271449.18338593765,136330075887.24405,369229.02904192684,655783.7141105481,969579682408.0231,984672.3731312985,80608707.95909503,0.39121549353993657,1.1160239551767352,1.0,0.252571851512541
440998.6925575388,383748008333.71783,619473.9771239127,792757.7354435553,829226865547.5708,910618.9464027041,180153.04799691323,52889256907.64871,229976.64426556168,583860.056496612,539514967715.57446,734516.8260261806,75575309.25877577,0.4137678299542502,1.0900093902500132,1.0,0.1958930935321885
573042.9006871257,866735768458.7462,930986.449127347,1076517.0192555217,1890737884077.7085,1375041.0481428213,289278.1680495318,196148131845.85855,442886.13869239413,804439.3687587418,1323991178864.4353,1150648.1559818515,104348631.67146105,0.39108661810642437,1.1037091622855764,1.0,0.2729594853843417
272875.0122737953,138123149470.51566,371649.22907294676,803668.6736194917,1734649541546.1833,1317060.948303526,239799.13236931487,97203845967.13654,311775.31327405723,624569.606271235,1580134230107.301,1257033.9017334818,79137184.00258735,0.3650069090073288,1.0860389546341394,1.0,0.24781779811607677
244449.94981712155,106856846121.76863,326889.6543510801,770478.1670695276,1039263685654.3257,1019442.8309887346,238464.9553726729,112242624170.92157,335026.3037000551,538475.6320865847,874844881403.0991,935331.4286407247,73037911.95250003,0.39194548449388106,1.0763112359017952,1.0,0.26050697644545356
355423.5178183977,218026178509.57004,466932.73445922596,749395.6654229562,1087788626987.8589,1042971.0575983683,346551.49460994883,237574063511.75757,487415.69887700333,634672.8962893944,1080898412346.7496,1039662.643527577,65512167.50838747,0.3766071024957466,1.0823430572289638,1.0,0.2798655962591901
360124.5996012955,217984802404.37827,466888.4260767001,808019.9968396797,1456326643113.18,1206783.5941514866,367883.0355814695,234824104817.7076,484586.5297526414,730254.6202346416,1426713773850.507,1194451.2438147096,75425650.40555586,0.37863843568529,1.1065392777583885,1.0,0.22055077831435846
281422.32016577706,159091326610.0448,398862.5409963247,998095.2444382326,1602769211510.665,1266005.217805466,207616.81605983342,69139651517.28769,262944.19848570094,568958.4677780248,793573691678.1495,890827.5319488894,99140593.95161252,0.31866758651077287,1.0828105507392942,1.0,0.2442615754773857
273618.5427107482,150192710922.08835,387547.04349548114,676083.1184395216,826871067143.7512,909324.5114609807,209879.27148068987,78396454998.25581,279993.66956818115,516794.60494124115,520838018493.4741,721691.0824538947,63277853.746698484,0.34679109441638195,1.0844379287074555,1.0,0.2773076135902339
330739.8111154212,214159186358.81256,462773.3639253804,607493.0513927729,651325265398.398,807047.2510320557,267606.2494486567,145463905723.77255,381397.30691730446,494470.6261476235,476463226856.6602,690263.1576845604,51514614.06120511,0.35514914649046925,1.0927349699224935,1.0,0.3313417593254785
337774.3501039462,203306574769.60077,450895.30355682434,634830.324097951,714071819867.5972,845027.7036095309,250843.0758229442,110868910360.27205,332969.834009437,566453.4563165302,567467507521.17,753304.3923416152,59130939.88720688,0.404475959765346,1.1066160110070498,1.0,0.2353807820664964
