target_rmse,target_mae
514674.47,397336.2
728644.25,469821.75
866564.9,549320.7
518284.16,419671.2
617091.44,399165.3
769108.6,566716.4
589324.4,477988.12
613849.94,436124.4
782308.94,454850.6
,
857308.6,528814.2
561534.25,399307.3
804179.75,509520.38
525980.5,451173.25
605879.1,490345.84
720753.56,520836.7
721968.25,455396.0
588949.44,464218.75
759251.5,464458.6
722339.2,459278.56
596703.1,475074.97
495321.78,419112.1
648776.75,521229.72
955664.44,681178.25
521909.72,454614.9
970314.25,578514.0
750794.0,509902.0
781936.8,520181.3
845648.2,601625.6
622464.2,497188.72
1197946.8,680487.06
733537.5,500528.7
525349.56,405139.25
610978.5,500310.88
1007410.9,653000.56
790585.4,596071.4
630106.0,530702.6
962307.8,458856.7
614792.9,511364.28
1014718.5,692167.8
541181.94,395348.8
881952.9,572700.9
583277.56,484034.84
549378.2,442411.3
788157.9,505214.56
634535.06,483609.88
696555.44,503849.38
577223.9,472485.25
566730.6,389671.6
573046.3,450915.53
799566.56,524036.16
609195.3,479854.25
881781.1,520662.4
638383.7,514868.72
618364.75,456321.1
499403.72,413142.7
686379.94,509603.2
691469.5,494262.84
4409986000.0,4409986000.0
778515.6,516393.88
719579.6,497309.7
1002705.44,532076.6
655473.3,418399.12
903768.5,597247.5
670694.75,462986.03
678295.4,481564.4
614892.56,428018.47
687819.5,484556.97
972185.94,477285.1
749646.4,580546.1
527894.8,377147.47
695498.06,459614.47
777162.8,534050.94
600654.44,431780.28
689739.6,502962.62
703080.3,486333.44
750256.9,472250.16
711601.8,509427.72
570758.7,498410.47
681568.5,553746.06
713393.7,515154.4
579702.25,391997.88
592907.75,498993.28
738500.3,488263.4
687502.5,523022.53
850353.44,626218.7
574703.44,482440.9
684418.1,528868.6
834660.75,510133.56
539821.75,393695.62
845753.9,584730.25
847367.1,618639.06
792066.8,502429.6
513605.3,412791.2
624530.75,442258.25
671204.3,514455.97
684054.5,489215.3
807665.94,634054.8
689875.6,503368.7
753474.0,604226.75
