source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
491036.5924941243,506003595738.28687,711339.2971981,950803.0111890684,1413171474356.4888,1188768.8902206724,270420.39249381813,134030443163.82953,366101.68418600527,1245164.1491142372,2419988714423.999,1555631.2912846666,,,,,
513086.12240233866,578968743148.9921,760899.9560710936,1186413.4936795468,2630020501746.221,1621733.7949695138,383728.2969784459,357772566568.5739,598140.9253416571,1246963.6565550459,2736796548100.085,1654326.6146985863,,,,,
377519.55054853304,275933060083.10876,525293.3086220581,760588.9627382003,1003997271822.5642,1001996.6426204053,219122.96460709057,84540535710.55252,290758.5522569414,784087.927433818,1513365745823.747,1230189.313001762,,,,,
447991.37280796573,509511972960.93536,713801.073802033,949916.1796642626,1748180730116.3281,1322187.8573471806,217233.17258660684,83973865634.98607,289782.44535338244,1122649.563100967,1949075397260.026,1396092.9042366864,,,,,
332321.0633283404,206496483338.2785,454418.8413108313,935017.6525362172,1378571062160.7441,1174125.658590572,267281.23337498074,124681938330.47554,353103.2969691384,849804.2042317757,1244698671313.696,1115660.643436747,,,,,
354353.3051901169,250290712714.28522,500290.6282495058,1236093.0434734009,2664683108468.4478,1632385.7106910879,246599.68153854128,99447708136.38414,315353.30684231635,1202726.6505964792,2309190165002.7095,1519601.9758485146,,,,,
331094.53183097776,206240857268.13318,454137.4871865713,823118.1407222347,1255217452192.6565,1120364.874579999,249984.3547346432,120069672243.5649,346510.71014265186,656772.6358585024,822557076099.5046,906949.3238872306,,,,,
372543.3949210486,272282976136.88467,521807.4128803506,941069.9689995863,1533319566034.0493,1238272.8156727212,263679.94908892957,125538742061.00977,354314.46775570675,1004481.4347109161,1740465861141.276,1319267.1682192641,,,,,
533254.3192134616,712397090136.3773,844036.1900631852,659322.6460220902,731698526223.3291,855393.7843024867,226326.56456492015,85385391098.64766,292207.7875393598,639842.6273452637,678284581707.299,823580.3432011348,,,,,
468056.7385444954,523535921349.9504,723557.8217046309,842264.9211068158,1221304861420.0234,1105126.6268713388,196104.68808347214,68332704037.303734,261405.24867971518,993628.3048278436,1574348216316.4573,1254730.3360947552,,,,,
517371.40574838046,717587105955.4636,847105.1327642063,1068511.5149330052,2024133184566.528,1422720.3465778255,294099.55927957565,171470501343.1662,414089.96769200556,1310513.3038424205,2850930001589.3843,1688469.7218456077,,,,,
319037.53983590234,163621596210.56964,404501.66403930855,843096.6177854636,1293895005037.126,1137495.057148437,229879.87520500392,102473385825.94864,320114.64481642924,765554.8606607398,949581298988.4022,974464.6217223087,,,,,
365143.386744837,225368692806.8734,474730.1262895303,1172721.62717861,2305761044599.4473,1518473.261074902,178944.7101548829,56312414957.78128,237302.37031639882,1028076.2403114453,1842186399580.411,1357271.6749348345,,,,,
467831.32636256865,569513883408.6017,754661.4362802712,808649.9349955013,1115973902621.5354,1056396.65969821,194826.40780811227,70910781263.93561,266290.7832876226,898542.4364318469,1249507518463.335,1117813.722613627,,,,,
284383.6407913227,136562494372.04004,369543.6298626186,1022498.335872722,1546899521404.5068,1243744.1543197327,366990.6388467609,263599008303.0177,513418.9403430864,953440.5957409745,1654564614622.4785,1286298.8045638846,,,,,
365460.78411816334,269999432153.3886,519614.6958597193,930644.6390659824,1512794816646.6096,1229957.2417960754,290622.493629421,169099880575.38312,411217.5586905101,929021.5837712082,1269602209421.2737,1126766.26210642,,,,,
302829.38992200914,162272996027.2394,402831.2252386096,577458.2024044191,667275210395.894,816869.1513307955,286553.9362202544,138275464944.06345,371854.0909336126,692153.7135952787,815725861708.9397,903175.4324099718,,,,,
322427.07722936466,220704425502.0505,469791.89595186774,1206728.289814365,2766793850389.6304,1663368.2245340717,372309.31835178693,235129872890.23468,484901.92089765397,1089618.555643295,2138063676368.3257,1462211.912264541,,,,,
313700.71492799633,166023286665.24442,407459.5521830902,755825.6449660732,1010660072388.9047,1005315.9067621006,299571.2685169688,166128371096.81274,407588.48253699805,795181.2745815549,1230457107829.8071,1109259.7116229397,,,,,
466319.00699751003,547741783681.00806,740095.7935841874,834192.3768319265,1108792459941.2598,1052992.1461916321,343510.17955605296,232821936062.12057,482516.2547128548,941665.3810685092,1571538243707.9468,1253610.0843994303,,,,,
257350.16525032543,124747225920.75566,353195.73315762985,728060.2244092417,891974465032.8544,944443.9978277454,265219.762781306,135798654806.14978,368508.6902722238,617743.5948282392,670746294955.6155,818991.0225122223,,,,,
320051.94325725327,193243528252.92563,439594.73183026846,1002487.8927314352,1823524016728.0188,1350379.212194863,374848.0409979725,280397029054.03217,529525.2865105048,967326.1347497856,1745996737174.6956,1321361.698088262,,,,,
299186.3782486747,175964463335.22678,419481.18352940073,776096.6349482844,1353647968183.955,1163463.7803489866,319006.13899246603,177476583698.897,421279.69770557067,716944.0174568702,1300919050565.5735,1140578.3842268682,,,,,
425752.6918589747,619595777446.6276,787144.0639721724,741668.6440772022,880687540967.4688,938449.5409810102,201437.4831729785,67226068949.86913,259279.90463950176,648036.6858886894,669775665073.065,818398.2313477132,,,,,
282147.09252082714,127428615875.41705,356971.44966427924,803119.0683192606,1245746770983.87,1116130.2661355752,246253.9323709329,100479484296.18617,316984.990648116,823409.1425447213,1346232476025.3147,1160272.5869489957,,,,,
275510.5028814809,131558347346.63142,362709.7287730664,795061.0407565086,1159330864574.143,1076722.2782937775,349833.3443864819,305569987570.2548,552783.8524868963,779439.7895491373,1190555194787.7803,1091125.654903128,,,,,
355866.99952171545,240338517114.17087,490243.32439531584,891626.6601830055,1964693051443.6123,1401675.087687447,263419.31182441,124220892867.19902,352449.84447038564,846599.2233912848,1846199842787.2488,1358749.3671708733,,,,,
270585.75659238244,132424540916.27113,363901.8286794821,714752.815680608,1215647668626.308,1102564.1335660743,336986.67525395215,263182701507.5382,513013.35412203276,749148.1205857609,1050334619200.4634,1024858.3410405866,,,,,
391014.6311949053,291348685450.9255,539767.2511841798,912985.3039623344,1369070915471.609,1170073.0385200784,302786.15734899265,175946486770.8775,419459.75584181794,851053.1678206063,1275227574195.6353,1129259.746114965,,,,,
434222.27573193324,566503532633.0457,752664.2894631348,746679.0438417536,974159921439.6392,986995.4009212197,206709.51044215093,74671759748.77945,273261.3396526839,794757.7182662504,1119378550321.715,1058006.876311168,,,,,
362260.26510380156,263694923165.24393,513512.3398373635,643682.9071577563,624210153203.4641,790069.714141394,227990.2389243433,86168282318.53996,293544.3447224626,713431.1899292415,870425305248.9437,932965.864996648,,,,,
282338.6109651173,177777303610.32025,421636.45906197466,815583.993458131,1383236923839.3015,1176110.931774423,289435.80629218364,160212051196.327,400264.97622990573,684435.9825282762,962370884801.5433,981005.0381122124,,,,,
365650.3437513649,203992888190.0323,451655.7186508683,1035887.0008271433,1939680333128.277,1392724.0692715398,342453.05379384937,251452230262.12973,501450.12739267474,955941.0434522029,1698043828052.215,1303090.1074185986,,,,,
451537.4496354239,607881632184.4762,779667.6421299502,867883.1275356376,2339456048174.892,1529528.047528025,326236.61158274097,204921345706.1727,452682.38943675807,812077.6489109274,2774047201061.5713,1665547.1176347942,,,,,
455978.2491523466,599117212235.1272,774026.6224330576,1070640.042489067,2422224749821.233,1556349.816018633,394784.0791880981,313787921805.7455,560167.7621978486,976391.0629146574,2683081814667.696,1638011.542898186,,,,,
515363.28509778256,622726247061.9419,789130.0571274306,924129.4800513065,1372600127150.1165,1171580.1838329788,267630.41192758264,116389844778.74184,341159.55911969085,928699.906940672,1416421565170.229,1190135.1037467255,,,,,
363294.0075336418,260259840788.50034,510156.68258732074,1152549.8021500611,2185248343676.2588,1478258.551024231,304151.28168830846,173433127498.84064,416453.0315639936,970202.3640583808,1692837669971.8372,1301090.9537660452,,,,,
363670.1632991622,264390253947.99258,514188.9282627472,802237.8144169211,1107506203221.0042,1052381.2062275743,343023.41969933227,215257819343.09695,463958.8552265135,822086.6161851329,1256381403115.2993,1120884.2059353408,,,,,
350407.2512175156,244525124556.65,494494.8175225399,893971.5812280696,1331786501539.1902,1154030.546189827,298512.400552552,163832970405.53552,404762.856998435,804005.7574254917,1455138059607.2385,1206291.0343724017,,,,,
386357.5335213012,302523898974.6412,550021.7259114782,559685.9581779301,534078907949.4952,730807.0251095669,234004.17686601507,110107034105.402,331823.79978748056,603480.6320847096,596232845248.0217,772161.15238208,,,,,
393481.8167432444,276536093687.86194,525866.9923924318,1276210.5011227145,2722797136431.1846,1650090.0388861161,425924.1129484739,451539862806.0989,671967.159023489,999335.5434868922,1913363759905.7065,1383243.9263939338,,,,,
