source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
480226.62525541,504347178789.35315,710174.0482370171,607517.808303353,589810973825.0759,767991.5193705435,273580.8539772415,142294791845.79706,377219.81899921043,985010.3652369815,1579112610989.4148,1256627.4750256795,,,,,
492590.49514996784,647744158680.7628,804825.5454946512,709243.4496972156,913094727194.9208,955559.9024629073,388820.38399336004,359367628677.6808,599472.792274746,1150759.0284070345,2430858085641.3735,1559120.93361656,,,,,
366581.52064375096,248906611595.8472,498905.4134761891,482687.9961206395,472439167660.76733,687342.1038033152,225951.74629221257,92969079854.41998,304908.3138492947,791807.3722111253,1068243753826.1356,1033558.7810212517,,,,,
478682.08452135656,545524905084.5053,738596.578034657,548736.1342561396,414093874877.64844,643501.2625299569,213465.76707334508,79921981132.0204,282704.7596557589,934501.4260189577,1595373877771.2063,1263081.1049854266,,,,,
324372.83556832053,202155831929.98334,449617.42840995756,534798.6704884173,391381888090.7912,625605.2174421112,273674.8862886918,129644643362.86745,360061.9993318754,953809.600840925,1489824115322.452,1220583.5142760416,,,,,
329333.0725338567,233031654060.68777,482733.5228267121,591317.3044482237,505100024622.95844,710703.8937721943,259496.32104582564,110909006106.53207,333030.0378442342,1229616.7881047446,2706194398725.5596,1645051.4881685495,,,,,
331872.44289526757,207643107107.85583,455678.73234095075,569945.4297595625,631565615244.2363,794711.0262505714,256193.55145253264,127982704354.30133,357746.7041837022,836977.2896306792,1283774543438.632,1133037.7502266339,,,,,
371684.0423657493,253984147093.86386,503968.39890400256,622477.2996421051,945631516842.5956,972435.8677273251,256325.38837046508,121923919271.926,349176.0577014495,931610.2587894136,1476616463663.546,1215161.0854794297,,,,,
502671.99577619846,583783953072.201,764057.5587429268,412072.37890206126,310557779231.5899,557277.1117061869,211368.50393421407,76288632376.18054,276203.9687915084,699344.7145204918,744826865066.1941,863033.5248796503,,,,,
428782.00823162287,478973143289.09406,692078.856265017,472325.8672954448,326044447857.5758,571003.0191317518,190810.9649189455,64924524216.84974,254802.91249679573,800895.7494988112,1150193548023.8032,1072470.76791109,,,,,
529871.7517311231,680603427127.6073,824986.9254282805,654790.2540922448,1012570640568.7317,1006265.6908434927,301930.0578454603,182873049212.29172,427636.58544644155,1113307.0096221438,2242917681770.0796,1497637.3665777973,,,,,
303535.7358939433,150373389529.34775,387780.0788196162,479185.55462588696,503718704668.3521,709731.4313656625,237631.72892672024,106183225244.13408,325857.6763621414,843684.250651007,1369218135200.7307,1170135.9473158368,,,,,
389826.4807306184,252424757367.62195,502418.9062601267,570585.7405309047,504841994920.71783,710522.3394944861,194840.67435423043,64784133918.584015,254527.27539221413,1151527.4819804647,2283398299532.477,1511091.7574828065,,,,,
458721.4150770755,600186305405.1213,774716.919529399,506185.0269424665,414107518606.5119,643511.8636097643,197397.52382923372,72112241232.93881,268537.2250414062,821928.8052549394,1142474913945.8364,1068866.1814959983,,,,,
