target_rmse,target_mae
1042678.9576348753,796667.5148417786
1140068.5677681593,722490.2432753753
1032603.5031781279,827357.3106004334
967400.8555450329,757703.7620768738
1193937.073515249,834740.7339434815
1037422.302842631,812298.2856829071
949342.0823630517,775124.0548718262
941509.2666929226,766177.2033809662
957670.488052024,741942.8907837677
1397659.3734333192,966336.0988114167
1195046.647381164,836742.4806274414
972013.9690961156,710671.7833274872
1026721.5009983557,804470.3188392639
885430.5330283109,721247.6195565796
1152506.2406708938,878967.9462225342
1176173.8834026086,764628.6087068939
1154695.4997871742,860089.1355595398
950886.8055727483,747435.3051017761
1090730.8384297038,830571.5620301819
1308248.7488486974,824427.135940094
854919.546311496,727232.6407583618
1360709.851008763,855843.4662864686
1049797.7040423045,808399.1678561402
1047399.8997128762,828231.2875915527
1249949.455077115,824006.263655014
1323886.3458533878,856584.8370826722
985801.4590618465,753161.8638343811
1004894.8214780029,752204.200838852
1210520.2754595722,946145.8243037415
1158988.5166590505,778763.2405660248
1069771.979972088,790149.2286894226
978469.396426191,803424.0080254364
1225275.4907528954,947649.2324958801
1082255.4458749525,846264.0218473816
1174076.664195185,801001.6093839264
939522.0967417078,735206.0053779602
1063541.6158195017,790865.8504788209
1033189.5435625738,784437.6830987548
768316.3473269582,613518.0753871155
1087083.0075572473,822174.0304799653
962451.1625211055,760310.0773927307
1237673.1639207646,800606.1699116119
1521558.76062748,865178.3897888168
797336.9311201944,618473.5761087799
919688.5990444665,723599.5947821045
1272045.1404324262,862365.372390213
967408.7268592552,807998.1139213562
1115363.039373371,826269.1395279694
1453518.6326585214,996638.2721733093
2122177.594191775,1006450.9123657227
1270457.77169506,996388.2194380187
1166301.9527306084,891780.0719955445
989500.1820879909,779865.9405678558
988185.0120422611,781692.5033205413
1180583.0296684608,848097.3781133271
1004911.2169360116,772766.633187027
980889.525271416,768618.419967041
1042113.7467145126,827618.191632309
985123.401684832,785267.7809350861
987401.5564511006,812903.9309496307
1274158.951887362,841931.8975878906
1153072.590042033,916459.5817401123
1055690.561465295,790800.0809835815
1115311.648976677,867711.0206932068
942456.1580171117,737150.2811759949
1055014.466220258,798780.9149179077
1151036.9690227075,922077.4206417084
1013103.3363721644,789679.7267520141
1102745.7322955756,734124.4868128967
1031427.7565872482,802289.8785307312
1381464.4304322645,826854.5013024902
999136.7593661373,772123.1380599976
1530798.5673867853,963771.3742709351
1344941.5520300542,923001.6821234131
1026551.032137663,835029.1065769958
1115154.4731993375,868568.019223938
1086104.9824465958,847612.865531311
1692516.0352340278,1212144.4338623048
1158908.1020597117,819337.1536723297
965089.0933728967,733892.0857091523
1161974.1692485951,893026.4554589844
946382.9508845287,765835.0940512085
1084778.3635521461,872181.1750718689
1108272.772404694,799893.8362147522
799859.0649489405,625475.8463645935
987602.3450569607,756451.8913454437
1041737.9245253003,822863.5628968811
1204777.5635507987,909540.6969004822
1021007.261011003,780294.1668486022
960469.0945383459,748892.0039486694
1056192.1824286745,812778.0047694397
1203849.0401648202,877896.6545785522
1203337.263299522,805706.6808358765
1310596.411091429,856490.6289006042
926710.8101770688,754149.3314007568
1341720.08225015,977865.200703125
984176.2264838453,779571.3891561127
1177883.2187849104,822054.1546725464
1075905.4829714845,779406.3479553986
1157439.321469087,910335.4320536804
