target_rmse,target_mae
1152294.6258315905,877168.7856038901
1195203.7171395107,854245.6869201864
1208085.0604318834,865168.823388907
1999002.844396472,1022094.4729731908
937590.6387360322,746732.9493965288
1043708.6270786925,789116.3554479452
1169285.8759204128,812762.3834508618
1025705.7846000568,773774.5258674369
1043197.2115581057,819669.4477353451
1131481.6585104086,850548.0067306394
1074808.6804640058,790585.8318831775
1078689.4232464517,788476.7303769982
1029012.5767326236,827071.8440771343
974746.7615657831,744494.9475476511
1069471.5512050064,763151.8981990685
1003211.1838595883,810724.1218531702
765023.8210434372,643618.1131658276
1195291.491504292,881246.9744149786
1313623.2160469228,982674.4805329075
1121386.7273071094,804616.7184385298
926760.5869469335,661703.405194339
1352336.6896200937,926012.8737774828
1250515.5922728495,836799.0197045611
1079845.8728629742,850483.1916960132
1036384.8002704488,857943.68522682
822055.4543547971,667212.6932344967
1078287.2193736532,801770.5197828144
1158287.4953521125,776089.9115882831
1472270.1865804975,970177.0768502064
1067868.952661245,806248.1065137846
1096538.3013542332,849965.2911607542
1107522.7408224687,818027.9058460728
2035262.9329843877,954469.2496884594
1083963.5747958047,849903.1217692394
1313318.4772735576,887320.1985800696
1154388.2718133426,850878.6216436238
1447947.30448544,981992.4417971029
899484.0776571739,716988.7365117634
1279156.3882082168,921297.4995014637
975439.6189271525,743127.684155628
1092682.1742716578,878429.4409179348
977246.2179674582,759982.7132716929
1084553.3217008603,810209.4946741302
1340197.3397471206,985288.2413306766
926404.1005938505,741726.5715428155
1089233.072834475,820269.0157658225
1027676.8899120351,736735.867827603
953888.4878361203,751885.8061700055
1101304.4670220416,831088.287864738
853186.8511249536,697758.0728537024
1420734.4973203237,888957.7078094276
1153408.3602421843,819217.0984472941
1005741.2092928292,763114.6592857724
936442.0003650866,727319.4000190863
1085088.2691262108,776256.0721072105
1763868.7557951317,891490.736601499
1259213.220284418,869854.8745153369
981353.0644560701,795395.2651798212
1039005.2431586889,796201.1924938849
991956.5176332769,752429.8907241365
1524390.9254648064,1013735.4267779179
1198109.486797838,802280.4048330841
1038514.4291402905,827532.4970243416
1787053.3904304572,940708.7057609444
1303802.7483860618,854142.6041766373
1071928.767188288,720485.9537074971
1075018.4129839782,800870.385080351
941654.6640950438,714249.1466378862
1041261.5320378821,776817.0815870279
857750.419934208,674059.9156138483
1107835.9304224805,819478.2699488017
1005474.497550645,809272.0699947331
1362069.2632179533,853214.4697896634
1418082.168538053,866470.1777266344
1056972.8091625476,771990.1086678284
1131919.2161296702,761704.7274650758
1050311.653294042,816494.9427805798
1700039.1728791012,1079349.4745779133
850666.1527261748,722043.5170645257
1028821.5770438926,765297.6991294572
2132699.6540153883,993259.0792446827
887367.9340501571,720537.0202407661
1042149.2875559113,768377.3008594492
1195882.6714202552,887601.0293010277
1081771.6285811155,775571.4855724117
1026576.9981054796,744157.8095539256
1244232.4612755636,906206.3701104757
1098761.4290806556,827525.977177371
2161932.1242018156,1018955.2732445782
1218431.080990618,914695.6427017704
1048613.3767305922,792013.7675601185
1179820.4849342522,834283.2633385237
953128.7022126127,788026.6991541199
1051915.884845754,805184.529008217
1139410.8967020495,866165.2500744455
1068536.3266467715,818486.97138609
1298012.6409463543,864403.2294495247
1105189.4134023834,820318.0580969449
1067715.2753422603,862729.1125561005
1179983.6936929713,864404.345278682
