target_rmse,target_mae
1047785.22031872,840057.3998619843
1161729.1064895142,900813.3770104981
1020690.0715765161,796662.6327111816
1183387.3051197524,923226.306818695
902786.1457389747,694863.4671789551
1276148.026892459,845269.774458313
838357.3715738407,682530.9872158814
1361019.6210973428,849882.4324787903
890230.037679786,695940.398094635
1763009.1654656096,882759.3777039337
1074235.3850084515,764802.9297450897
1240930.359690511,924302.7984476502
1387088.7953643275,955265.5319996643
962593.3887670845,680802.7869684006
1046875.6399616199,831447.9856115723
848283.2862836116,658370.2294532775
1094547.6610008434,792295.620955304
1000021.0300991585,756076.0172740173
989247.5037339885,785009.3801065064
1095012.7686297528,791556.4962269593
1176786.048718112,854667.3745700073
1167334.8288839867,896108.5322492981
805472.2227519415,676301.717505951
2076004.0815557023,1009877.9454042054
1191179.8636791464,815143.7831646302
1381083.1910616083,936588.556396637
1152501.3619121911,873083.7924209594
1181313.3074736581,852659.0647865295
1250747.1028761147,925732.0962373352
893065.1924421666,694632.9481007386
1096224.6889372475,803103.0437193299
1249734.1520431337,914175.3259909058
1204291.2742932942,822417.008564148
1071069.2844987279,823144.2552810669
966653.3432189521,751241.7458125809
1199168.2866402625,911332.1582511902
1058876.1497579466,796234.7955096435
1321451.346569706,896158.9343177032
1394682.416813204,958451.1977671814
1055101.7620997305,771247.8225910186
1201597.4109722418,892107.2558831024
983793.7222216984,740048.4470380706
1143265.5236599823,820749.5148609924
1370243.0589082565,983269.0142160035
1265860.757317668,928007.8617453247
1054225.2774622191,775487.0280389404
969875.2009535627,776480.5928683472
1023697.1033672616,722657.9343626404
937240.5719999478,753313.8923616027
1021602.7222882754,757604.1443405914
1261065.1822216217,952300.5063397217
991156.6058617817,766805.4901235962
1832245.178572036,970146.6432472229
1220393.7201871849,906005.1253199676
1048842.585681982,828780.7096417999
987751.1523484868,754886.1512823487
1125519.2382549657,878521.7234669494
1107625.0340390648,850642.8981781006
810132.9482579564,657688.1704970063
925636.9702765297,741859.2374461364
1267551.4286123754,916281.652862854
1129529.9615464078,767812.2991230774
1159497.5495326787,861977.4990005493
1230354.3770530026,957639.0598281861
1067461.0921332843,813577.324298706
1633283.7166797495,991755.8370808411
1230178.9500262344,915928.0173960876
921021.1392854231,706727.0945237732
1099537.9929281098,732977.079776535
1249576.4111264446,943950.511124115
992711.539276701,781333.2391679382
1236395.5241106043,931928.0098754882
917766.0018414243,712471.4231993866
1147029.923752255,825418.0270830536
1285940.9213402516,951254.965464859
1248829.02091772,902829.3442840576
1385094.7636868528,934045.9450022888
1038172.4867911562,764082.1570456695
1088248.7574851008,795653.3319596862
1841750.0927819975,977876.8673776245
900481.3944186926,731470.5661278534
1181770.8563590753,914669.5417335511
1057509.218913897,813789.6332127381
1063569.0810635034,806670.485877533
1199755.5076935494,873251.6360276794
1031843.1763710278,803195.7816989899
1141054.1595729236,845074.022388382
1059102.6067088526,811550.4230993652
821789.1066033681,655923.7860153199
1066790.868947241,835602.8204397582
1359714.6305741984,957002.5841044617
970293.9866740018,793114.6233480835
914547.3186106789,718870.3921803284
988788.2561524482,746760.5928398132
1040519.4062593931,783173.2822860718
821671.6539557339,696564.7999861145
1053324.0593589398,803859.5501746369
1194996.1212987357,820157.2880580139
1322572.835649066,872979.319644165
1241504.2041286367,893771.2049317933
