female_accuracy,trans_female_accuracy,female_f1,trans_female_f1
0.02,0.02,0.001,0.001
0.001,0.06,0.001,0.11320754716981131
0.58,0.9,0.596146540027137,0.8923771880293621
0.52,0.54,0.5474285714285715,0.5686021505376344
0.62,0.34,0.5051851851851852,0.17253731343283582
0.56,0.4,0.5308823529411765,0.22857142857142862
0.74,0.94,0.6609496810772503,0.9413839891451832
0.62,0.88,0.4745679012345678,0.8817532467532467
0.1,0.66,0.05454545454545455,0.5566265060240965
0.4,0.6,0.22857142857142862,0.44999999999999996
0.76,0.22,0.7025913621262457,0.07934426229508197
0.28,0.6,0.12250000000000001,0.5399999999999999
0.72,0.82,0.6465,0.8246266829865361
0.08,0.08,0.13925925925925925,0.13925925925925925
0.52,0.52,0.35578947368421054,0.35578947368421054
0.72,0.72,0.6027906976744185,0.6027906976744185
0.04,0.98,0.04,0.9803049124788253
0.6,0.84,0.44999999999999996,0.8415458937198068
0.04,0.96,0.004615384615384615,0.9504166666666666
0.34,0.34,0.17253731343283582,0.17253731343283582
0.42,0.42,0.24845070422535212,0.24845070422535212
0.14,0.14,0.0343859649122807,0.0343859649122807
0.08,0.92,0.011851851851851851,0.8816666666666667
0.48,0.08,0.6486486486486487,0.14814814814814814
0.16,0.82,0.1379310344827586,0.8139727159983465
0.7,0.001,0.8235294117647058,0.001
0.44,0.44,0.26888888888888896,0.26888888888888896
0.54,0.54,0.3787012987012987,0.3787012987012987
0.8,0.8,0.7111111111111111,0.7111111111111111
0.5,0.68,0.33333333333333326,0.677938808373591
0.18,0.92,0.05491525423728814,0.9252214452214451
0.3,0.3,0.17117117117117117,0.13846153846153844
0.62,0.66,0.7041975308641975,0.7370666666666666
0.34,0.78,0.23343283582089547,0.7730885352917177
0.001,0.001,0.001,0.001
0.12,0.3,0.12,0.25051674245556016
0.22,0.54,0.07934426229508197,0.5613737373737375
0.06,0.001,0.08603773584905662,0.001
0.001,0.02,0.001,0.0392156862745098
0.84,0.04,0.7669565217391304,0.012307692307692308
0.32,0.18,0.3375201288244767,0.1385858585858586
0.96,0.82,0.96,0.8526315789473684
0.3,0.74,0.13846153846153844,0.7226666666666667
0.06,0.94,0.006792452830188679,0.9109278350515464
0.74,0.2,0.6804597701149424,0.06666666666666668
0.68,0.7,0.5666666666666665,0.5764705882352941
0.4,0.96,0.22857142857142862,0.9602627257799672
0.62,0.62,0.4745679012345678,0.4745679012345678
0.7,0.8,0.688861689106487,0.7902777777777777
0.9,0.9,0.8526315789473685,0.8526315789473685
0.22,0.22,0.07934426229508197,0.07934426229508197
0.001,0.001,0.001,0.001
0.52,0.52,0.35578947368421054,0.35578947368421054
0.3,0.18,0.37846153846153846,0.05491525423728814
0.5,0.62,0.5252525252525253,0.6575824175824176
0.46,0.54,0.28986301369863016,0.3787012987012987
0.32,0.32,0.15515151515151515,0.15515151515151515
0.02,0.78,0.001,0.8591688770999114
0.001,0.9,0.001,0.8526315789473685
0.82,0.82,0.738901098901099,0.738901098901099
0.76,0.32,0.7360498960498961,0.16484848484848486
0.54,0.54,0.3787012987012987,0.3787012987012987
0.36,0.58,0.32259740259740255,0.49924050632911393
0.1,0.44,0.018181818181818184,0.5466666666666667
0.001,0.001,0.001,0.001
0.48,0.48,0.3113513513513514,0.3113513513513514
0.58,0.2,0.6207818411097099,0.09490968801313629
0.02,0.1,0.00392156862745098,0.018181818181818184
0.5,0.46,0.35413495687468294,0.41371428571428576
0.78,0.3,0.7712359550561798,0.32950622240064237
0.08,0.82,0.011851851851851851,0.857888022678951
0.001,0.001,0.001,0.001
0.86,0.82,0.8209601634320736,0.738901098901099
0.16,0.06,0.13173076923076923,0.10188679245283021
0.46,0.36,0.3478968792401628,0.21176470588235297
