target_accuracy,target_precision,target_recall,target_f1,source_accuracy,source_precision,source_recall,source_f1,trans_source_accuracy,trans_source_precision,trans_source_recall,trans_source_f1
0.883,0.8519685039370078,0.9592198581560284,0.8812787435222237,0.345,0.313915857605178,0.9387096774193548,0.24351997338506579,0.927,0.8434782608695652,0.9387096774193548,0.9280005675529953
0.941,0.9857723577235772,0.9031657355679702,0.9410770598072979,0.153,0.06320224719101124,0.2,0.1790903596374008,0.153,0.06320224719101124,0.2,0.1790903596374008
0.996,0.9966101694915255,0.98989898989899,0.9959960841523341,0.012,0.001,0.001,0.00640316205533597,0.012,0.001,0.001,0.00640316205533597
0.995,0.9891540130151844,1.0,0.995002089393834,0.731,0.9422718808193669,0.6801075268817204,0.7479883392559924,0.649,0.9318681318681319,0.5698924731182796,0.6700187234680586
0.987,0.9785831960461285,1.0,0.9869646008384753,0.31,0.1289308176100629,0.09030837004405286,0.2874312669828358,0.248,0.25249169435215946,0.33480176211453744,0.2417478171545968
0.854,0.8757142857142857,0.9122023809523809,0.8522350188483037,0.121,0.19329073482428116,0.24444444444444444,0.10685994647636038,0.121,0.19329073482428116,0.24444444444444444,0.10685994647636038
0.86,1.0,0.4166666666666667,0.8370800850460667,0.731,0.24719101123595505,0.9887640449438202,0.7886057877813505,0.906,0.46987951807228917,0.43820224719101125,0.9045147320747036
0.769,0.6995884773662552,0.5182926829268293,0.7586766688032119,0.44,0.5404411764705882,0.25257731958762886,0.4141023660343891,0.298,0.001,0.001,0.19193220338983047
0.991,0.9672727272727273,1.0,0.9910471026289751,0.656,0.16666666666666666,0.5769230769230769,0.7222298850574712,0.656,0.16666666666666666,0.5769230769230769,0.7222298850574712
0.811,0.9574468085106383,0.4986149584487535,0.7924883686773396,0.048,0.04331450094161959,0.04925053533190578,0.048121856487425944,0.425,0.001,0.001,0.3179298245614035
0.953,1.0,0.8272058823529411,0.951512529602097,0.911,0.9078212290502793,0.8530183727034121,0.9104266777124498,0.595,0.001,0.001,0.46182445141065837
0.999,1.0,0.9974554707379135,0.9989997745799585,0.993,0.9859437751004017,1.0,0.9930005390652269,0.993,0.9859437751004017,1.0,0.9930005390652269
1.0,1.0,1.0,1.0,0.491,0.3555992141453831,0.5,0.5008155068494822,0.299,0.2616033755274262,0.5138121546961326,0.2810449404878598
0.998,0.9974937343358395,0.9974937343358395,0.998,0.757,0.8156182212581344,0.704119850187266,0.7569113027825696,0.548,0.9361702127659575,0.1647940074906367,0.4621341850662012
1.0,1.0,1.0,1.0,0.06,0.07526881720430108,0.12661498708010335,0.05055628327304627,0.118,0.15091678420310295,0.27648578811369506,0.09048201020605903
0.997,0.9988358556461001,0.9976744186046511,0.9970044654779427,0.074,0.15913978494623657,0.12151067323481117,0.08392178770949721,0.609,0.609,1.0,0.46100807955251705
0.934,0.9191011235955057,0.9316628701594533,0.9340465625456137,0.112,0.16942148760330578,0.1443661971830986,0.11588930066900899,0.48,0.7033898305084746,0.14612676056338028,0.39848716003035256
0.99,0.9878345498783455,1.0,0.989893987733344,0.001,0.001,0.001,0.001,0.04,0.046948356807511735,0.2127659574468085,0.014461538461538461
0.99,0.9595375722543352,0.9822485207100592,0.9900464168059875,0.706,0.0070921985815602835,0.0064516129032258064,0.7002550437761705,0.705,0.001,0.001,0.6987976539589442
0.999,1.0,0.9977827050997783,0.998999900020097,0.988,0.9808102345415778,0.9935205183585313,0.9880049187442734,0.637,0.9385964912280702,0.23110151187904968,0.5717332922487824
0.99,1.0,0.9628252788104089,0.9899392704216072,0.963,1.0,0.9005376344086021,0.9625612136288206,0.696,1.0,0.1827956989247312,0.620602331002331
0.995,0.9859943977591037,1.0,0.9950079480487131,0.397,0.08963093145869948,0.375,0.48136617103425605,0.397,0.08963093145869948,0.375,0.48136617103425605
0.958,1.0,0.6934306569343066,0.9546971446403495,0.44,0.4125230202578269,0.4817204301075269,0.43965053763440864,0.536,1.0,0.002150537634408602,0.3751704148037893
0.995,1.0,0.9609375,0.9949573461442963,0.511,0.7381443298969073,0.49722222222222223,0.5355910122915525,0.619,0.9884726224783862,0.47638888888888886,0.6285645060677382
0.998,0.9957627118644068,1.0,0.9980002327830824,0.083,0.001,0.001,0.04107848568790396,0.523,0.661188369152971,0.7144808743169399,0.5027393302692056
0.995,1.0,0.9702380952380952,0.9949697251642262,0.476,0.001,0.001,0.3186233062330623,0.502,1.0,0.015810276679841896,0.34419780990934845
0.907,0.8934782608695652,0.9032967032967033,0.90703981264637,0.076,0.001,0.001,0.05311524163568774,0.076,0.001,0.001,0.05311524163568774
0.882,0.9685314685314685,0.8470948012232415,0.8843044796000522,0.782,0.8668146503884573,0.888509670079636,0.772447191011236,0.774,0.8656215005599104,0.8794084186575654,0.7679541800324741
0.903,0.862015503875969,0.9858156028368794,0.9012828815489392,0.084,0.10264900662251655,0.04585798816568047,0.07645950239916117,0.676,0.676,1.0,0.5453174224343675
0.999,0.9986206896551724,1.0,0.9989994376245461,0.248,0.13582677165354332,0.1806282722513089,0.25855037959307625,0.073,0.10102489019033675,0.1806282722513089,0.05478629208405514
0.974,0.958904109589041,0.9523809523809523,0.9739740189523584,0.081,0.001,0.001,0.05439962997224792,0.081,0.001,0.001,0.05439962997224792
1.0,1.0,1.0,1.0,0.866,0.9595959595959596,0.8625162127107653,0.8721803278688524,0.665,0.743847874720358,0.8625162127107653,0.6158738738738739
0.903,0.8893956670467503,1.0,0.8921234237293504,0.182,0.18421052631578946,0.9381443298969072,0.059742808798646366,0.194,0.194,1.0,0.06304187604690117
0.997,0.9943502824858758,1.0,0.9969994671451322,0.598,0.45484949832775917,0.7816091954022989,0.6034428714130404,0.599,0.4556113902847571,0.7816091954022989,0.6045083577822916
0.86,0.8193548387096774,1.0,0.8503401851184036,0.021,0.014098690835850957,1.0,0.014290584238627694,0.014,0.014,1.0,0.001
0.953,0.928462709284627,1.0,0.9523649229954204,0.168,0.23581560283687944,0.24906367041198502,0.16553020004119562,0.168,0.23581560283687944,0.24906367041198502,0.16553020004119562
0.889,0.8302469135802469,0.9981447124304267,0.8866555022584767,0.58,0.27399650959860383,0.9751552795031055,0.6295334271730568,0.57,0.2708688245315162,0.9875776397515528,0.6192915719874938
0.972,0.9692832764505119,0.9988276670574443,0.9708519527075937,0.52,0.24248496993987975,0.5426008968609866,0.5599141664390775,0.178,0.1497076023391813,0.5739910313901345,0.13723064725791714
0.943,0.9680851063829787,0.8899755501222494,0.9425759849020997,0.569,0.9947089947089947,0.3042071197411003,0.5319338146623581,0.861,0.8919803600654664,0.8818770226537217,0.8612351484181987
1.0,1.0,1.0,1.0,0.784,0.9879154078549849,0.6066790352504638,0.7780589563625268,0.784,0.9879154078549849,0.6066790352504638,0.7780589563625268
1.0,1.0,1.0,1.0,0.541,0.36363636363636365,0.008771929824561403,0.3889309369460729,0.541,0.001,0.001,0.3819649578195976
0.884,0.8931924882629108,0.9681933842239185,0.8757624107016372,0.619,0.4152410575427683,0.9816176470588235,0.631102273929138,0.272,0.272,1.0,0.11632704402515724
0.994,1.0,0.9829545454545454,0.9939880369191766,0.804,0.47540983606557374,0.6304347826086957,0.8139978597417422,0.535,0.19914346895074947,0.5054347826086957,0.5872964100391824
1.0,1.0,1.0,1.0,0.952,0.9703872437357631,0.9240780911062907,0.9518933333333335,0.835,0.9111111111111111,0.7114967462039046,0.8319182217428629
0.887,0.9857142857142858,0.6529968454258676,0.8796326720951834,0.8,0.9058441558441559,0.62,0.7926996630679091,0.829,1.0,0.62,0.8204475915726899
0.877,1.0,0.7442827442827443,0.8744994132919403,0.089,0.08823529411764706,0.1503957783641161,0.08291527204502815,0.117,0.1261127596439169,0.22427440633245382,0.10315540553414541
